order_id,order_date,dealership_id,customer_id,booking_channel,payment_type
36,2023-10-28 20:08:26,12,906,,Loan
37,2023-10-03 07:56:33,10,4005,Walk-in,Credit Card
38,2023-04-03 02:22:07,20,3863,Online,Loan
39,2023-10-23 08:07:31,6,4898,,Credit Card
40,2023-02-28 15:55:39,2,772,,Credit Card
41,2023-03-23 02:21:39,27,1952,Walk-in,Loan
42,2023-10-25 08:07:08,21,3242,Walk-in,Cash
43,2023-06-14 16:46:46,22,4498,Online,CC
44,2023-05-10 12:38:23,2,820,Walk-in,CC
45,2023-06-27 04:03:19,1,4225,Online,CC
46,2023-10-19 00:05:04,15,4183,,Loan
47,2023-01-16 03:21:26,14,2509,Walk-in,CC
48,2023-06-14 03:47:37,26,900,Walk-in,Credit Card
49,2023-01-12 02:50:48,11,4326,Online,Credit Card
50,2023-11-28 06:34:32,27,5065,Walk-in,Credit Card
51,2023-09-19 18:52:59,3,2734,Walk-in,Cash
52,2023-10-14 21:51:23,27,1090,,Loan
53,2023-04-18 17:30:44,2,1970,,Cash
54,2023-06-10 10:46:08,12,1360,,Loan
55,2023-04-23 20:32:44,22,4457,Walk-in,Loan
56,2023-11-06 13:23:27,27,2302,Walk-in,Loan
57,2023-10-05 06:23:49,19,5269,,Credit Card
58,2023-11-13 18:42:26,2,2754,Online,Loan
59,2023-02-28 13:53:26,29,292,,Loan
60,2023-07-04 03:16:23,14,3911,Walk-in,CC
61,2023-10-08 18:22:29,23,1423,,Credit Card
62,2023-05-01 12:31:13,17,3173,Online,Loan
63,2023-10-23 10:12:41,9,2377,,CC
64,2023-01-02 22:22:34,15,1536,,Loan
65,2023-09-06 00:58:01,1,1752,Online,CC
66,2023-11-14 05:51:36,5,2030,Walk-in,Cash
67,2023-11-30 09:24:30,7,2544,Walk-in,Credit Card
68,2023-11-30 00:02:21,10,4107,Online,Cash
69,2023-10-12 02:05:48,21,168,Online,Credit Card
70,2023-12-23 07:17:26,3,2438,,CC
71,2023-01-24 00:12:08,18,3563,Walk-in,Cash
72,2023-06-22 23:06:41,2,4786,Online,Loan
73,2023-03-23 19:08:31,9,3784,Walk-in,Loan
74,2023-03-27 18:17:41,11,1488,Walk-in,Loan
75,2023-10-09 23:59:04,16,2993,Online,CC
76,2023-01-20 15:39:35,22,3093,Online,CC
77,2023-10-06 11:41:29,14,879,,CC
78,2023-09-15 06:56:20,4,347,Online,CC
79,2023-02-07 18:48:25,10,4387,,Credit Card
80,2023-04-05 13:12:42,16,1660,Walk-in,Credit Card
81,2023-01-11 06:51:29,10,3713,Online,Cash
82,2023-05-21 13:47:50,7,3472,,Credit Card
83,2023-12-15 22:23:27,18,1567,Online,Loan
84,2023-09-18 05:57:59,20,5179,Walk-in,Loan
85,2023-05-10 14:48:07,30,3814,Walk-in,Credit Card
86,2023-05-16 19:08:10,17,5650,Online,Credit Card
87,2023-03-24 04:19:24,11,3210,,Credit Card
88,2023-01-06 17:53:05,4,4913,Online,Loan
89,2023-02-06 15:32:28,23,5651,,Cash
90,2023-11-15 00:53:23,10,5489,Walk-in,Loan
91,2023-02-20 10:07:51,9,2551,,CC
92,2023-09-07 01:28:35,11,2858,Walk-in,Loan
93,2023-05-20 18:31:53,5,2782,,CC
94,2023-05-22 13:59:50,22,1958,,Credit Card
95,2023-05-03 18:39:25,7,1321,Walk-in,Credit Card
96,2023-03-18 04:27:36,9,5822,Walk-in,Loan
97,2023-10-06 05:52:26,11,2859,Online,Loan
98,2023-01-28 20:04:15,26,4460,Walk-in,Credit Card
99,2023-05-22 12:36:31,11,2258,Online,CC
100,2023-11-24 16:08:18,16,779,,Loan
101,2023-09-14 03:50:27,26,2992,,Cash
102,2023-05-12 04:44:54,8,2690,,Cash
103,2023-03-27 05:13:55,25,4188,Online,Cash
104,2023-03-19 11:51:04,21,5586,Walk-in,Credit Card
105,2023-05-08 00:50:48,25,5079,Walk-in,Cash
106,2023-01-10 02:43:08,8,3540,Walk-in,Credit Card
107,2023-02-20 08:37:51,2,5144,Walk-in,Loan
108,2023-03-17 00:33:04,28,3215,Online,Cash
109,2023-04-19 02:30:32,17,2261,,Cash
110,2023-10-02 12:57:11,30,2562,,Cash
111,2023-06-18 16:24:50,29,2739,Online,Loan
112,2023-01-04 01:25:59,20,1912,Online,Cash
113,2023-12-09 07:40:19,28,4848,Walk-in,Loan
114,2023-12-27 04:43:13,2,5449,,Loan
115,2023-06-19 01:32:37,19,4684,Walk-in,Loan
116,2023-08-07 15:50:57,13,3064,Online,CC
117,2023-05-27 14:58:30,23,4029,,Cash
118,2023-03-07 21:04:00,10,2834,Online,Loan
119,2023-06-22 01:23:47,14,2165,Online,Cash
120,2023-06-13 18:45:11,5,365,Walk-in,Loan
121,2023-11-10 21:42:46,3,707,,Credit Card
122,2023-12-21 01:26:23,2,3363,Online,Cash
123,2023-10-04 11:37:00,9,94,,CC
124,2023-08-31 01:33:10,7,2883,Walk-in,CC
125,2023-07-16 06:35:26,25,1170,Online,Loan
126,2023-09-27 08:05:42,4,483,Online,Loan
127,2023-11-29 03:36:09,3,1034,Walk-in,Credit Card
128,2023-05-22 04:50:34,14,43,Online,Cash
129,2023-11-19 18:05:14,30,2664,Online,Credit Card
130,2023-12-30 18:54:30,10,4936,,Loan
131,2023-07-14 02:15:54,19,5930,Walk-in,Cash
132,2023-11-04 01:17:10,19,1909,Walk-in,Cash
133,2023-03-25 01:03:18,17,4892,,Cash
134,2023-10-16 00:09:56,10,1593,Online,Cash
135,2023-07-02 22:46:30,24,225,Walk-in,CC
136,2023-10-31 13:34:12,7,4305,Walk-in,Cash
137,2023-02-15 00:09:16,20,141,Walk-in,CC
138,2023-02-20 04:09:26,2,1511,Online,CC
139,2023-12-08 13:36:19,7,366,Online,Credit Card
140,2023-06-22 02:59:07,8,4533,,Loan
141,2023-09-13 02:12:07,15,1103,,Credit Card
142,2023-02-11 19:31:43,17,4901,,CC
143,2023-05-30 07:54:14,28,267,Walk-in,Cash
144,2023-10-10 18:40:53,14,5217,,Credit Card
145,2023-01-15 04:55:07,8,204,,Cash
146,2023-07-10 14:27:11,15,400,,CC
147,2023-12-22 07:50:29,12,897,Walk-in,Loan
148,2023-05-17 00:12:36,29,4502,,CC
149,2023-09-27 02:11:29,18,186,Online,Loan
150,2023-04-25 01:01:57,15,688,Online,CC
151,2023-07-31 10:08:07,6,4655,,Credit Card
152,2023-12-03 07:40:33,24,1846,Online,Credit Card
153,2023-03-21 15:42:45,29,1683,,Loan
154,2023-07-06 00:48:01,8,4215,Online,Loan
155,2023-07-03 03:53:11,25,3392,Online,Credit Card
156,2023-08-24 13:17:33,14,578,Online,Loan
157,2023-09-10 06:05:50,18,5031,Walk-in,Loan
158,2023-01-25 18:45:39,18,3477,,Credit Card
159,2023-06-30 02:01:31,10,5933,Walk-in,Loan
160,2023-05-11 16:02:49,5,1962,Online,Cash
161,2023-10-27 04:11:35,3,3543,Walk-in,Cash
162,2023-06-26 06:01:48,24,4874,,Credit Card
163,2023-06-11 15:12:37,27,1108,Online,Cash
164,2023-05-10 01:26:31,24,780,Online,Credit Card
165,2023-10-10 09:20:25,8,351,Online,Loan
166,2023-03-17 03:25:49,27,2089,,CC
167,2023-02-05 21:25:29,24,5751,Online,CC
168,2023-07-20 16:46:19,24,2616,Walk-in,Credit Card
169,2023-05-05 19:39:50,21,206,,Cash
170,2023-07-27 16:53:20,13,5510,Online,Credit Card
171,2023-09-30 19:21:14,12,37,,Loan
172,2023-06-04 02:01:20,7,3738,Walk-in,CC
173,2023-05-08 18:01:48,27,3791,Online,Credit Card
174,2023-08-21 14:46:57,29,448,Online,Loan
175,2023-04-11 08:25:46,28,1281,Walk-in,Cash
176,2023-06-29 08:21:02,1,2647,Walk-in,CC
177,2023-01-28 17:05:51,1,3587,,Cash
178,2023-05-07 01:29:00,24,3094,,Cash
179,2023-12-13 21:32:31,5,5646,Online,CC
180,2023-06-27 19:01:14,12,2617,,CC
181,2023-08-31 05:30:22,4,5311,Online,Credit Card
182,2023-01-09 09:57:18,7,588,Walk-in,Loan
183,2023-01-22 15:23:06,13,1709,Online,Cash
184,2023-01-12 20:05:54,16,2208,Online,Loan
185,2023-09-18 17:21:41,8,4870,,Credit Card
186,2023-07-23 09:41:44,15,1401,Walk-in,Loan
187,2023-07-16 04:34:54,26,5989,Walk-in,Loan
188,2023-06-14 21:47:19,23,38,,Loan
189,2023-12-06 18:55:40,25,4391,Walk-in,Cash
190,2023-12-30 07:13:54,25,3445,,Loan
191,2023-09-28 00:09:30,10,1556,Online,Loan
192,2023-08-18 23:48:17,25,4616,Walk-in,Loan
193,2023-09-11 22:28:14,25,1307,,CC
194,2023-01-21 05:39:25,25,603,,CC
195,2023-12-01 03:54:53,17,4692,Online,Loan
196,2023-10-23 22:30:05,11,4202,Online,CC
197,2023-03-08 00:36:06,21,714,Walk-in,Cash
198,2023-05-14 21:03:36,26,3061,Walk-in,Loan
199,2023-10-15 16:25:31,16,5835,Online,Loan
200,2023-07-16 09:00:07,15,577,Online,Credit Card
201,2023-12-26 18:57:37,1,2923,Walk-in,Loan
202,2023-06-01 11:30:51,6,3148,Walk-in,CC
203,2023-06-21 16:55:59,7,2442,Online,Cash
204,2023-01-14 12:04:43,11,5181,,CC
205,2023-12-02 14:20:29,5,2641,Walk-in,CC
206,2023-03-28 09:43:40,2,4550,Walk-in,Credit Card
207,2023-08-30 00:45:03,15,1151,Walk-in,Credit Card
208,2023-06-30 02:17:56,25,3470,Walk-in,Loan
209,2023-08-24 11:37:57,8,830,Walk-in,Loan
210,2023-01-16 09:50:14,1,4306,,CC
211,2023-11-18 21:09:51,30,1114,,Credit Card
212,2023-03-17 12:02:19,24,5703,Walk-in,Cash
213,2023-10-29 07:45:44,1,3400,Walk-in,CC
214,2023-04-01 23:32:37,14,2904,Online,CC
215,2023-05-20 01:19:48,15,3342,Online,Loan
216,2023-11-17 15:36:54,28,5367,Walk-in,CC
217,2023-12-17 23:30:42,11,2664,Online,Cash
218,2023-01-19 18:00:56,5,384,Walk-in,Loan
219,2023-04-16 15:44:52,26,5443,,CC
220,2023-01-20 11:41:34,7,961,Online,Credit Card
221,2023-10-20 20:52:58,22,3807,,Credit Card
222,2023-12-06 01:54:05,2,3677,Walk-in,Loan
223,2023-02-19 19:14:52,3,2316,Online,Credit Card
224,2023-02-04 04:33:00,6,2245,,Loan
225,2023-08-14 02:11:41,3,2047,,Credit Card
226,2023-08-17 04:31:52,1,1293,Online,Cash
227,2023-09-10 18:41:06,2,3770,Online,CC
228,2023-09-21 13:07:03,9,567,Online,Loan
229,2023-06-09 15:02:23,11,598,Online,Loan
230,2023-05-03 18:57:58,30,4714,Walk-in,CC
231,2023-10-27 14:56:30,3,632,Walk-in,Cash
232,2023-11-29 00:46:27,19,3109,,Credit Card
233,2023-07-27 10:46:17,5,2092,Online,CC
234,2023-12-26 20:08:21,29,4107,,CC
235,2023-05-20 13:01:23,17,2424,,CC
236,2023-12-03 02:10:42,11,5164,Online,Loan
237,2023-08-04 09:04:13,1,5319,Walk-in,CC
238,2023-10-07 22:20:05,1,160,Walk-in,Cash
239,2023-04-21 23:38:54,14,5909,Online,CC
240,2023-03-17 08:52:23,30,5720,Online,Loan
241,2023-05-19 15:37:21,13,2218,,CC
242,2023-07-09 14:07:19,20,1768,,Credit Card
243,2023-09-19 01:05:52,13,3739,Walk-in,Cash
244,2023-06-22 13:54:49,9,4653,,Credit Card
245,2023-01-17 20:46:31,21,1414,,CC
246,2023-12-10 02:03:35,8,5258,,CC
247,2023-12-21 01:11:12,11,2938,Online,CC
248,2023-12-02 20:13:20,3,1155,Online,Cash
249,2023-04-27 16:43:50,16,5014,,Loan
250,2023-09-15 16:23:01,26,459,,CC
251,2023-04-24 03:16:01,20,3103,Online,Credit Card
252,2023-08-15 17:31:52,21,4,Online,Cash
253,2023-10-04 18:28:49,12,1346,,CC
254,2023-09-30 13:24:15,2,3887,Walk-in,Cash
255,2023-10-10 19:48:58,19,2228,,Loan
256,2023-10-04 06:50:37,1,728,Online,Cash
257,2023-08-09 06:17:54,29,643,Walk-in,CC
258,2023-08-10 12:30:41,23,5303,Online,Loan
259,2023-03-06 18:41:58,16,5166,Online,Loan
260,2023-05-22 00:28:04,6,4319,Online,CC
261,2023-11-01 10:39:21,11,2122,Walk-in,Cash
262,2023-10-14 23:28:08,2,458,Online,Loan
263,2023-12-22 03:02:59,9,4069,Walk-in,Loan
264,2023-11-16 01:49:48,19,4235,,Credit Card
265,2023-04-21 02:34:09,19,3533,Walk-in,CC
266,2023-06-29 05:40:59,27,3310,,CC
267,2023-09-09 21:55:17,13,59,Online,CC
268,2023-04-28 09:15:12,29,3903,,Cash
269,2023-03-22 09:13:50,30,5987,Online,Cash
270,2023-05-25 00:14:09,1,27,,Cash
271,2023-06-17 16:03:34,29,250,,Cash
272,2023-10-25 00:04:29,10,4567,Online,Credit Card
273,2023-09-24 03:02:37,15,1517,Online,Loan
274,2023-01-09 20:19:01,7,4693,Online,Cash
275,2023-03-30 18:16:31,1,252,Walk-in,Cash
276,2023-05-13 18:30:43,24,1132,Walk-in,Loan
277,2023-06-21 04:53:53,27,2888,,CC
278,2023-10-09 22:19:09,18,2070,Online,Cash
279,2023-12-20 19:02:03,3,5978,Online,Cash
280,2023-09-14 20:44:12,25,1135,,Credit Card
281,2023-02-07 20:16:06,30,3784,Walk-in,Loan
282,2023-06-19 21:36:29,15,3039,Walk-in,Cash
283,2023-07-22 22:53:30,27,1923,Online,CC
284,2023-02-01 09:09:49,15,5047,Online,Loan
285,2023-10-24 21:54:53,28,2770,,Cash
286,2023-06-20 14:51:25,16,3020,,Loan
287,2023-04-21 04:21:45,10,122,,Cash
288,2023-03-10 03:11:00,30,2663,,CC
289,2023-08-20 05:27:52,30,2463,,Loan
290,2023-02-26 08:59:09,24,3560,,Credit Card
291,2023-12-06 06:33:05,22,2019,,Loan
292,2023-01-09 16:00:45,23,1453,Walk-in,Loan
293,2023-11-14 10:24:48,1,3557,,Cash
294,2023-04-14 04:48:18,17,1136,,Credit Card
295,2023-07-13 13:06:50,27,4436,Online,Loan
296,2023-11-14 04:52:45,11,4882,Walk-in,Cash
297,2023-08-01 20:24:39,2,1053,Walk-in,Cash
298,2023-12-13 23:42:13,29,2130,Online,Credit Card
299,2023-12-15 04:23:57,26,2661,Online,Loan
300,2023-02-06 22:41:21,6,1226,Walk-in,Loan
301,2023-10-14 19:49:42,12,69,Walk-in,Credit Card
302,2023-05-04 05:18:51,23,2082,Walk-in,CC
303,2023-11-09 20:13:11,18,4456,,Cash
304,2023-09-28 20:20:59,3,5331,Walk-in,Credit Card
305,2023-03-22 23:38:19,13,4786,,CC
306,2023-03-31 04:27:31,13,559,Walk-in,CC
307,2023-05-09 00:23:09,2,5838,Walk-in,Cash
308,2023-06-12 23:39:59,28,704,,Loan
309,2023-02-27 16:15:03,2,5466,,Cash
310,2023-08-27 00:53:32,1,5190,Online,Loan
311,2023-07-27 20:50:49,13,1575,Online,Cash
312,2023-07-07 02:11:25,16,2390,Walk-in,CC
313,2023-05-22 16:28:03,1,1540,Online,CC
314,2023-09-21 03:43:27,24,994,,CC
315,2023-02-06 03:18:58,12,3760,,CC
316,2023-05-12 06:27:13,28,3392,Online,Cash
317,2023-06-23 09:07:47,27,2298,,CC
318,2023-11-25 08:59:02,26,569,Online,Cash
319,2023-03-13 09:09:04,18,3074,Walk-in,CC
320,2023-05-29 03:36:33,14,3543,Walk-in,Loan
321,2023-07-03 17:16:11,26,2772,Online,CC
322,2023-04-15 16:41:40,24,4621,Walk-in,Loan
323,2023-07-25 22:38:16,9,1251,Online,Loan
324,2023-08-26 12:05:20,16,3433,Walk-in,Loan
325,2023-09-04 23:18:10,30,1171,,Loan
326,2023-10-17 10:30:45,8,1429,Walk-in,Cash
327,2023-04-06 02:09:10,4,2377,Online,Loan
328,2023-06-06 09:41:09,14,651,,Credit Card
329,2023-04-07 12:47:55,28,2890,,Loan
330,2023-08-01 07:48:59,14,1833,Walk-in,Credit Card
331,2023-03-24 22:31:50,25,3259,,Loan
332,2023-12-20 23:25:11,26,2310,Online,Loan
333,2023-11-22 12:50:33,10,3815,Walk-in,Credit Card
334,2023-12-11 11:53:49,1,1912,Online,Credit Card
335,2023-11-27 08:25:02,30,533,,Loan
336,2023-02-10 02:07:22,14,5675,Walk-in,Cash
337,2023-12-24 03:40:05,19,2349,,Credit Card
338,2023-08-26 11:44:48,3,3184,,Cash
339,2023-04-04 09:35:40,22,4684,,CC
340,2023-04-24 14:48:13,6,3938,Walk-in,Credit Card
341,2023-12-23 09:31:15,7,2855,Online,Loan
342,2023-03-24 04:22:40,26,5811,Walk-in,Cash
343,2023-06-07 09:39:55,26,1214,,Cash
344,2023-10-04 21:21:33,23,3978,Walk-in,CC
345,2023-08-27 23:56:43,25,934,Online,Loan
346,2023-10-05 18:56:20,15,5629,Walk-in,Cash
347,2023-07-10 00:40:39,13,5209,Online,Credit Card
348,2023-12-30 02:17:32,28,1652,Online,Credit Card
349,2023-01-15 13:01:48,10,705,,CC
350,2023-12-04 03:14:09,22,2778,Walk-in,Loan
351,2023-08-26 03:10:39,18,5796,Online,CC
352,2023-01-28 12:41:24,5,4621,,Cash
353,2023-06-01 08:34:53,27,4883,Online,Loan
354,2023-04-15 21:33:48,12,613,,Loan
355,2023-08-15 20:39:33,13,759,Online,Credit Card
356,2023-04-03 21:54:20,17,4920,,CC
357,2023-12-28 15:05:00,19,5791,,Loan
358,2023-11-26 23:31:10,4,4829,Walk-in,CC
359,2023-01-14 19:54:10,27,2203,Online,Cash
360,2023-11-07 06:57:33,15,1932,Walk-in,CC
361,2023-10-25 14:50:21,21,1852,,Loan
362,2023-12-10 07:54:09,24,4440,Walk-in,Cash
363,2023-05-25 17:09:39,20,2407,Online,Loan
364,2023-09-08 19:43:37,24,5656,Online,CC
365,2023-02-11 09:49:02,15,2878,Walk-in,Loan
366,2023-10-07 05:28:25,8,5910,,CC
367,2023-01-27 02:26:17,26,2151,Walk-in,Cash
368,2023-08-05 23:57:32,23,5023,Walk-in,Credit Card
369,2023-11-08 04:27:03,9,3469,,Cash
370,2023-04-29 17:48:01,27,3312,Walk-in,CC
371,2023-10-12 23:17:22,14,5802,Online,CC
372,2023-08-05 12:31:23,9,3106,,Cash
373,2023-10-20 14:14:35,11,4571,Online,Loan
374,2023-09-25 03:00:48,7,1018,,CC
375,2023-02-14 17:19:11,11,3739,,Credit Card
376,2023-05-11 15:24:32,22,3012,Walk-in,Loan
377,2023-01-29 11:08:25,3,2524,,Cash
378,2023-05-29 23:06:42,17,5191,Online,Loan
379,2023-07-26 06:05:20,18,2650,Walk-in,Cash
380,2023-12-27 17:25:20,11,5914,,CC
381,2023-06-11 16:54:10,21,4018,Online,CC
382,2023-07-09 18:39:37,14,5497,Walk-in,Credit Card
383,2023-10-12 22:53:01,13,2325,,Loan
384,2023-12-15 02:18:48,14,5777,Online,Credit Card
385,2023-02-02 02:37:22,25,1952,Walk-in,Cash
386,2023-09-08 18:42:23,25,4507,,Credit Card
387,2023-03-27 23:07:52,23,5420,,Credit Card
388,2023-08-29 22:57:15,29,4972,,Cash
389,2023-07-07 12:35:42,22,3313,,Cash
390,2023-11-03 13:48:32,26,2266,,Loan
391,2023-11-03 10:48:37,10,1493,Online,Loan
392,2023-08-09 07:29:42,12,3815,,CC
393,2023-05-26 01:03:47,23,1754,Walk-in,Loan
394,2023-07-30 13:56:45,11,5370,Online,Cash
395,2023-04-20 19:30:52,6,1542,,Credit Card
396,2023-11-13 14:19:22,5,450,Online,CC
397,2023-06-23 13:01:32,22,5772,,Cash
398,2023-07-05 08:10:11,17,1106,,Credit Card
399,2023-02-08 00:44:08,21,5774,Walk-in,CC
400,2023-09-12 01:51:24,13,4806,Online,Loan
401,2023-01-11 03:32:03,17,3842,,Credit Card
402,2023-10-10 07:15:40,21,663,,Cash
403,2023-07-19 03:50:14,30,1461,,Loan
404,2023-11-05 20:53:41,2,4991,Walk-in,Loan
405,2023-02-03 06:35:47,27,5494,Walk-in,Loan
406,2023-02-20 05:13:11,10,5266,,Cash
407,2023-07-17 08:20:24,5,3074,Walk-in,CC
408,2023-05-31 09:37:24,26,706,Walk-in,Credit Card
409,2023-03-10 12:51:58,4,246,Walk-in,Credit Card
410,2023-01-16 04:13:27,13,180,Online,Cash
411,2023-04-20 18:18:50,20,1901,,Loan
412,2023-07-15 06:31:37,22,5847,,CC
413,2023-03-13 20:38:16,26,3302,Online,Credit Card
414,2023-12-21 18:20:06,8,1090,Walk-in,Credit Card
415,2023-10-14 16:38:20,6,4112,,Loan
416,2023-12-24 14:08:31,17,1460,Walk-in,Credit Card
417,2023-12-27 20:23:51,11,2290,Walk-in,Loan
418,2023-02-27 17:04:43,25,4758,Walk-in,Cash
419,2023-04-01 19:01:30,4,5136,Walk-in,Loan
420,2023-11-25 10:14:08,14,4283,,Cash
421,2023-11-12 02:31:01,7,3439,Online,Cash
422,2023-03-24 08:51:44,17,552,Walk-in,Loan
423,2023-07-29 06:12:42,28,3544,Online,CC
424,2023-04-27 17:34:50,15,4761,Online,Credit Card
425,2023-03-27 15:01:42,25,1705,,CC
426,2023-12-11 17:17:55,19,1547,Walk-in,CC
427,2023-05-12 06:17:16,13,4519,,Credit Card
428,2023-09-12 05:24:06,3,2572,Online,Loan
429,2023-12-24 16:49:52,10,134,Walk-in,Loan
430,2023-05-10 01:27:42,8,5508,Walk-in,Credit Card
431,2023-12-11 05:58:01,30,310,Walk-in,Loan
432,2023-04-16 02:42:10,18,3405,,CC
433,2023-04-09 16:41:38,25,1456,,Credit Card
434,2023-03-03 13:40:40,3,4930,,CC
435,2023-05-21 08:46:13,18,4043,Walk-in,Credit Card
436,2023-02-08 07:21:46,21,3069,Online,Cash
437,2023-09-20 00:05:30,25,2779,Online,CC
438,2023-08-28 07:45:58,12,5281,,Loan
439,2023-11-20 22:51:51,25,4846,Online,CC
440,2023-02-10 11:06:12,24,1848,,Loan
441,2023-09-17 09:32:11,8,4603,Online,Cash
442,2023-02-19 20:31:15,15,1624,,CC
443,2023-04-15 03:29:03,7,854,Walk-in,Credit Card
444,2023-09-19 05:53:54,19,5911,,Credit Card
445,2023-01-29 00:08:53,3,36,,Loan
446,2023-05-10 15:58:49,5,2776,,Cash
447,2023-12-30 23:50:05,9,2893,,Loan
448,2023-06-07 13:34:39,1,5394,Online,Loan
449,2023-06-07 01:05:14,30,4871,Walk-in,Cash
450,2023-02-20 09:53:26,19,4264,,Credit Card
451,2023-11-14 09:18:25,9,5700,Online,Loan
452,2023-09-22 22:28:49,23,4820,,Cash
453,2023-11-09 21:06:49,2,366,Walk-in,Loan
454,2023-07-11 08:58:25,18,5884,Walk-in,Credit Card
455,2023-09-09 01:58:06,17,4938,Online,CC
456,2023-11-19 09:52:23,26,3015,Walk-in,Loan
457,2023-06-05 11:49:04,3,2215,Walk-in,Loan
458,2023-02-24 16:40:34,4,5102,Walk-in,CC
459,2023-11-28 22:58:37,15,2987,Walk-in,Loan
460,2023-01-05 11:44:22,1,4604,Online,Cash
461,2023-05-08 17:37:04,14,537,Walk-in,CC
462,2023-03-10 18:16:49,13,428,Online,Credit Card
463,2023-02-21 11:15:48,16,3432,Online,Cash
464,2023-12-29 15:50:11,16,3711,Online,Credit Card
465,2023-11-29 16:03:14,1,596,Online,Credit Card
466,2023-01-15 04:37:14,3,5117,,CC
467,2023-09-29 13:36:23,5,5982,Online,Loan
468,2023-06-10 19:55:04,24,924,Walk-in,Credit Card
469,2023-11-02 01:48:49,5,5300,Online,Cash
470,2023-05-30 07:28:57,12,253,Walk-in,Cash
471,2023-03-17 12:32:21,15,1896,,CC
472,2023-01-28 19:02:32,7,5724,Online,Loan
473,2023-12-23 14:53:42,9,2364,Online,Loan
474,2023-02-24 07:37:25,1,3098,Online,Cash
475,2023-10-28 11:25:03,5,641,,CC
476,2023-01-18 10:28:14,18,267,Online,Credit Card
477,2023-02-15 16:24:10,1,2861,Online,Loan
478,2023-10-04 04:00:40,15,5646,,CC
479,2023-12-05 05:05:47,7,2901,,CC
480,2023-12-22 07:38:55,23,1729,,CC
481,2023-04-09 05:06:22,17,2446,Online,CC
482,2023-07-14 19:50:30,10,986,,CC
483,2023-10-04 11:50:50,30,99,Walk-in,CC
484,2023-12-11 04:12:01,7,3189,,Cash
485,2023-03-13 10:05:58,16,5460,Walk-in,CC
486,2023-09-08 11:15:33,6,1625,Walk-in,Cash
487,2023-12-01 02:26:05,22,1816,,Cash
488,2023-06-06 02:43:08,12,838,,Loan
489,2023-03-06 15:26:53,17,578,,CC
490,2023-12-02 03:01:32,11,3422,Online,Cash
491,2023-08-27 08:15:54,10,1396,Walk-in,CC
492,2023-03-14 02:37:06,7,3332,,Credit Card
493,2023-11-17 05:39:37,17,4436,,Credit Card
494,2023-07-23 23:17:16,26,739,Walk-in,Cash
495,2023-10-19 08:30:08,26,626,Online,Cash
496,2023-09-17 07:19:44,12,1938,,Credit Card
497,2023-02-14 14:43:10,28,2021,Online,Loan
498,2023-10-07 18:27:27,5,3727,Walk-in,Credit Card
499,2023-12-08 03:05:28,1,232,,Credit Card
500,2023-09-17 21:59:20,12,1058,,CC
501,2023-11-30 01:10:21,1,3112,Walk-in,Credit Card
502,2023-07-28 12:09:48,13,4499,Online,Cash
503,2023-03-04 02:32:36,30,4476,Walk-in,Credit Card
504,2023-11-12 20:30:25,12,320,Online,Cash
505,2023-06-11 20:39:46,15,1237,Walk-in,Cash
506,2023-04-05 17:50:20,8,68,Walk-in,Loan
507,2023-04-29 14:02:04,12,5653,Walk-in,CC
508,2023-08-10 00:52:42,21,1311,Walk-in,CC
509,2023-03-09 16:28:59,27,5558,,CC
510,2023-09-03 00:31:49,11,3786,Walk-in,Credit Card
