order_item_id,order_id,model_id,sale_price,discount,delivery_days_promised,delivery_days_actual
81,4588,17,1916478,10%,7,19.0
82,56,34,1551042,,10,28.0
83,1350,8,2226436,10%,15,22.0
84,3934,12,1911292,,12,22.0
85,4612,35,1332301,10%,18,19.0
86,4101,3,1271993,,6,11.0
87,3745,47,1947382,10%,19,9.0
88,4294,14,512902,,6,14.0
89,464,45,1760026,10%,17,20.0
90,183,15,2419796,10%,12,25.0
91,2000,39,2536167,10%,5,7.0
92,3258,3,2183950,10%,13,20.0
93,4360,24,1374000,15,7,27.0
94,3138,2,1678378,10%,5,11.0
95,775,5,2576402,10%,5,20.0
96,4147,4,2186271,10%,11,25.0
97,4886,36,725529,10%,6,18.0
98,2173,2,1064742,0.1,6,25.0
99,2470,11,2528089,,6,5.0
100,3722,17,2011567,0.1,6,17.0
101,4180,12,504994,,13,19.0
102,4284,19,1121936,10%,10,8.0
103,4912,13,1659720,15,10,
104,1970,19,2236148,,14,10.0
105,1655,20,749659,,6,24.0
106,4968,21,1939121,,18,20.0
107,757,31,608060,10%,8,12.0
108,2333,31,957446,10%,18,22.0
109,3621,5,965026,,10,23.0
110,72,40,2109357,10%,17,17.0
111,1239,2,1663870,10%,10,14.0
112,2671,11,1776958,10%,19,24.0
113,1138,24,1728850,10%,10,
114,3027,48,2505457,,8,5.0
115,1791,31,711545,10%,13,8.0
116,2147,2,957578,10%,14,17.0
117,4431,26,912789,15,11,
118,3166,17,1710839,15,5,24.0
119,3943,49,767102,15,12,11.0
120,2586,11,1099748,10%,7,10.0
121,2588,42,2319205,0.1,5,10.0
122,4672,47,1988427,0.1,8,20.0
123,2262,13,1191101,0.1,8,11.0
124,1650,26,1270847,15,17,18.0
125,1098,30,1645161,10%,19,12.0
126,880,20,534568,15,6,14.0
127,1662,8,2114859,15,16,5.0
128,1800,43,1668250,,16,21.0
129,1172,20,499015,0.1,13,8.0
130,446,46,1781374,10%,15,17.0
131,4979,11,976808,,19,19.0
132,1769,28,2040927,15,6,14.0
133,2451,11,1098166,,9,12.0
134,3152,9,2267645,10%,18,11.0
135,3558,36,2436526,,19,26.0
136,2708,27,548229,15,9,6.0
137,4003,6,2375107,,15,6.0
138,2364,28,764527,10%,18,23.0
139,4256,13,765674,15,10,25.0
140,3264,45,682329,,7,12.0
141,2172,23,920226,15,11,21.0
142,1449,47,966966,10%,9,28.0
143,3529,11,539366,,18,23.0
144,3840,21,2523695,0.1,18,15.0
145,526,39,998444,10%,10,23.0
146,4831,24,2344986,10%,19,5.0
147,427,11,529844,10%,15,25.0
148,4041,45,1995241,0.1,16,11.0
149,2075,26,1304897,10%,10,
150,1115,48,2059703,10%,11,9.0
151,709,42,925014,0.1,11,10.0
152,1311,20,1687966,10%,8,9.0
153,722,29,2264073,10%,19,6.0
154,3106,4,793382,10%,5,19.0
155,1718,50,842686,10%,5,5.0
156,2124,18,1335312,15,5,28.0
157,2216,46,1514639,10%,7,26.0
158,4872,12,633091,0.1,17,26.0
159,2673,32,1969257,10%,6,8.0
160,4562,31,992538,0.1,19,29.0
161,3931,8,1759535,0.1,16,25.0
162,1781,25,916801,10%,17,10.0
163,463,11,1473605,,9,5.0
164,650,26,1066050,10%,9,23.0
165,1996,41,1876494,0.1,9,14.0
166,3467,19,1781212,15,7,20.0
167,4822,48,2254593,,8,20.0
168,4474,17,1864707,0.1,17,22.0
169,3290,10,2184140,,14,8.0
170,393,34,2473541,,9,7.0
171,4218,29,880299,,19,12.0
172,4495,45,1293459,0.1,7,8.0
173,2110,28,2311591,0.1,10,26.0
174,2350,18,1922252,15,12,23.0
175,4278,32,1799176,,10,24.0
176,3850,36,1226273,0.1,11,28.0
177,2996,5,2508617,10%,18,11.0
178,2151,18,1728600,,7,21.0
179,4978,16,1320215,,6,9.0
180,2921,3,1700044,0.1,6,23.0
181,1148,6,1518764,,5,10.0
182,3933,33,2343712,0.1,11,24.0
183,3671,16,1072028,,5,14.0
184,4433,44,1365667,10%,5,8.0
185,1536,2,2288550,10%,16,10.0
186,2258,2,2118969,10%,5,12.0
187,1527,5,1718283,,17,24.0
188,2852,28,945257,15,5,6.0
189,2349,1,673990,,15,21.0
190,485,5,1867167,15,14,
191,782,4,1990331,0.1,19,13.0
192,385,29,468063,15,10,20.0
193,2176,2,1161194,10%,19,19.0
194,440,15,1974496,,7,20.0
195,4376,5,2000992,0.1,6,21.0
196,162,31,539288,,7,
197,4457,26,1101075,0.1,17,13.0
198,2317,14,1590563,10%,12,20.0
199,3209,41,1023127,15,15,12.0
200,986,41,1162769,15,14,8.0
201,345,11,2204740,,8,26.0
202,3,19,973064,10%,11,18.0
203,516,10,1393732,15,6,23.0
204,2674,42,2264666,15,19,16.0
205,3543,17,951613,0.1,14,
206,840,18,1685203,10%,6,7.0
207,3632,25,1666302,10%,11,22.0
208,1932,15,1660682,,6,16.0
209,3373,47,1628670,15,7,27.0
210,1612,38,1298189,10%,5,24.0
211,4992,47,640902,15,8,20.0
212,2238,45,1785634,,13,9.0
213,3258,33,1281214,10%,15,6.0
214,865,31,1285487,10%,16,15.0
215,2687,37,1167369,,14,8.0
216,2174,47,851460,10%,10,9.0
217,3475,36,1894868,10%,12,6.0
218,1066,6,1503925,0.1,11,17.0
219,4915,44,2440060,10%,12,27.0
220,1777,46,796063,10%,15,22.0
221,4092,48,1379985,0.1,5,25.0
222,1083,8,1766444,15,5,8.0
223,4247,11,831205,15,16,28.0
224,3116,26,1724376,10%,12,28.0
225,2153,29,2083167,0.1,10,26.0
226,4838,2,1332138,15,14,22.0
227,1667,24,1591604,15,10,17.0
228,4171,18,2551060,10%,12,14.0
229,4072,33,984219,15,16,9.0
230,2987,46,1020123,10%,8,21.0
231,2396,21,1963000,0.1,5,17.0
232,3158,22,591389,,11,26.0
233,3959,33,1311555,10%,6,15.0
234,1216,32,2415250,15,11,18.0
235,2819,33,734486,0.1,12,25.0
236,4810,40,574980,0.1,17,7.0
237,2882,14,2406163,,10,23.0
238,1238,45,654609,10%,18,12.0
239,3524,26,2403249,0.1,14,29.0
240,2432,27,2361648,,6,24.0
241,238,10,1614860,,11,7.0
242,2301,37,1580907,15,18,26.0
243,3486,50,1442558,10%,13,19.0
244,555,7,1207447,15,14,6.0
245,3649,17,1847204,15,5,29.0
246,2131,43,531702,10%,10,9.0
247,4124,4,2113864,15,11,27.0
248,948,33,826662,,8,15.0
249,1429,16,1455127,15,11,8.0
250,3122,24,2243930,10%,7,18.0
251,2217,47,2410136,0.1,14,5.0
252,32,21,2474497,15,18,8.0
253,577,29,1163951,15,17,22.0
254,2938,50,2336781,,13,12.0
255,1090,15,2375393,,5,6.0
256,4754,28,902703,10%,17,18.0
257,1902,18,1650374,15,8,11.0
258,363,8,1381925,,12,21.0
259,1681,9,1999603,,18,14.0
260,4720,46,1939104,15,7,14.0
261,4872,44,2155158,15,10,20.0
262,3772,6,1739724,15,7,8.0
263,4663,34,2282357,15,6,11.0
264,1889,3,1049581,15,16,21.0
265,4156,18,1922750,,12,12.0
266,408,19,1560684,10%,8,18.0
267,1029,9,1014705,,13,19.0
268,1241,13,489258,,11,24.0
269,4339,40,919966,15,11,12.0
270,1100,5,1236591,,14,16.0
271,961,47,1607447,15,11,27.0
272,419,39,2517224,10%,17,28.0
273,1268,36,2178846,,8,6.0
274,2532,24,1850002,15,15,21.0
275,1619,37,2236837,15,16,29.0
276,3608,44,661606,10%,5,17.0
277,4998,46,1511366,15,16,29.0
278,2544,44,517777,15,17,15.0
279,3965,11,1069931,15,19,12.0
280,436,42,1569247,10%,7,14.0
281,706,46,1767060,,14,27.0
282,654,10,832703,,14,20.0
283,40,3,1773299,10%,8,21.0
284,1788,17,882587,10%,13,12.0
285,1642,5,1511631,0.1,6,27.0
286,2939,37,1264988,15,15,28.0
287,2689,35,1554798,,12,10.0
288,1793,40,613478,15,12,10.0
289,1580,18,1058577,,5,5.0
290,1199,27,2048056,15,5,13.0
291,1564,26,1261175,0.1,8,10.0
292,2530,31,497279,0.1,11,13.0
293,480,13,2568916,0.1,5,9.0
294,2682,16,2060170,,18,15.0
295,1623,50,787646,15,9,22.0
296,1891,22,1414139,0.1,12,24.0
297,2501,16,2076054,10%,19,22.0
298,2000,8,2186730,15,9,10.0
299,3567,32,1905246,10%,10,7.0
300,2228,18,2561028,10%,5,12.0
301,2577,33,562212,15,8,17.0
302,3776,45,2221505,15,12,16.0
303,3205,46,494021,0.1,10,26.0
304,4035,45,1436774,,7,21.0
305,992,38,1228241,0.1,17,13.0
306,4057,30,1542226,0.1,6,8.0
307,1442,42,1050820,15,7,11.0
308,562,13,2548200,15,13,22.0
309,1153,13,1928787,0.1,13,10.0
310,4554,4,2088726,,17,12.0
311,13,40,1524993,10%,8,11.0
312,2454,42,811616,15,19,28.0
313,647,6,1645777,10%,8,15.0
314,3295,46,2492420,,15,17.0
315,1696,37,2569804,0.1,17,26.0
316,706,15,1583455,,6,8.0
317,4335,27,2595046,10%,18,25.0
318,2213,32,2437671,15,11,26.0
319,3652,7,1138341,10%,5,9.0
320,2975,31,998779,0.1,9,26.0
321,1438,24,955356,,6,22.0
322,4972,2,2589346,,13,11.0
323,4150,8,860827,15,11,23.0
324,301,7,757986,0.1,16,29.0
325,4576,49,1505468,,15,23.0
326,3459,1,2290118,,14,13.0
327,4033,38,2158865,,17,23.0
328,3417,8,2077737,10%,8,26.0
329,1951,4,644995,0.1,17,14.0
330,3051,30,839615,10%,15,8.0
331,2573,19,1850220,,18,23.0
332,3579,37,832246,0.1,7,23.0
333,1243,20,759836,,10,21.0
334,2071,45,1163367,10%,12,17.0
335,328,44,1122979,,10,5.0
336,4537,13,1343987,10%,14,16.0
337,1810,32,1159850,0.1,7,23.0
338,887,2,1797628,15,18,6.0
339,2989,13,1164966,10%,7,18.0
340,3875,8,566169,,9,20.0
341,1611,32,915328,0.1,14,24.0
342,933,48,636226,,7,15.0
343,4300,14,1103810,15,5,25.0
344,1804,21,1193054,0.1,19,6.0
345,2365,33,545305,15,8,27.0
346,1339,36,1451792,15,7,20.0
347,72,21,2127167,,15,12.0
348,3567,6,2546401,15,15,24.0
349,2113,5,1700262,10%,10,7.0
350,2374,48,1719629,,16,20.0
351,2119,30,1606865,0.1,9,22.0
352,43,28,2125729,15,6,
353,2369,37,1967303,15,6,7.0
354,2087,41,2005310,,14,22.0
355,3866,12,915063,,6,14.0
356,2596,41,890593,,12,13.0
357,162,11,1166483,10%,6,11.0
358,4540,6,2281472,10%,5,9.0
359,3225,20,1341362,,10,
360,1644,27,1149659,15,17,9.0
361,3079,29,1385896,,9,10.0
362,2399,9,553444,10%,7,11.0
363,1421,40,2580661,0.1,8,19.0
364,2004,48,1084452,15,14,23.0
365,4189,7,1982147,15,12,9.0
366,4895,21,841139,0.1,6,29.0
367,4525,18,1591947,0.1,9,
368,674,15,1117978,10%,9,7.0
369,2547,2,2106723,10%,16,
370,3846,33,648483,0.1,18,11.0
371,3512,50,2484018,15,8,10.0
372,4346,11,2201782,0.1,16,6.0
373,168,6,692910,0.1,6,21.0
374,1995,13,2092638,15,9,17.0
375,1165,44,980021,10%,18,21.0
376,618,17,2314565,,5,18.0
377,2357,41,1633521,0.1,10,20.0
378,4333,25,566585,0.1,8,25.0
379,3768,5,469836,15,19,12.0
380,2780,14,901182,0.1,10,29.0
381,4548,45,1456412,,12,23.0
382,1462,29,634520,10%,10,5.0
383,2225,30,2433133,0.1,10,12.0
384,2818,12,2458479,15,16,
385,2482,27,2300308,0.1,17,19.0
386,747,31,962658,0.1,11,27.0
387,2245,47,2498953,,5,16.0
388,1408,29,2530319,15,14,27.0
389,3596,27,1295057,10%,14,20.0
390,1040,5,2487313,,11,20.0
391,4370,9,2317397,,12,21.0
392,1784,26,1890315,15,10,19.0
393,2267,27,2521100,0.1,13,24.0
394,523,15,656928,,6,28.0
395,801,15,1042653,0.1,11,10.0
396,216,34,2310076,,6,26.0
397,1273,14,750766,,12,22.0
398,1453,2,1422223,10%,16,17.0
399,3699,46,2315228,0.1,15,28.0
400,3570,6,1103575,10%,11,11.0
401,4789,47,1319169,15,17,27.0
402,2210,16,2556121,10%,8,6.0
403,3215,9,1313141,10%,17,22.0
404,4550,44,1883205,,15,18.0
405,362,16,2232898,15,12,5.0
406,3740,44,684032,15,9,6.0
407,3563,22,1249346,15,5,26.0
408,4601,19,2589014,10%,8,6.0
409,3736,8,1039529,15,8,21.0
410,268,44,488540,15,15,29.0
411,2200,45,614120,0.1,19,6.0
412,1665,21,1231663,15,18,
413,3569,3,1446225,10%,5,12.0
414,2042,15,1285393,,14,19.0
415,3208,2,1038571,10%,7,25.0
416,969,22,2103384,10%,17,14.0
417,955,17,515191,,15,
418,4211,16,1319691,,18,
419,1390,47,2099919,0.1,10,24.0
420,331,44,844906,10%,13,13.0
421,4642,14,1865489,15,16,12.0
422,4244,49,577139,,10,10.0
423,659,41,1470797,,17,20.0
424,1648,5,1158623,,6,11.0
425,4472,21,1983495,10%,6,16.0
426,4726,16,1904175,0.1,14,21.0
427,1762,31,1987774,15,5,18.0
428,1225,32,1865161,15,8,7.0
429,4947,16,2547775,,16,
430,4774,9,1595511,0.1,15,10.0
431,1945,37,786032,15,5,25.0
432,2017,48,2289862,,11,25.0
433,4454,9,624971,15,13,5.0
434,4717,21,2157196,15,12,
435,526,8,1750059,15,17,29.0
436,2586,24,1662315,,11,25.0
437,4761,16,1611200,0.1,6,22.0
438,3807,31,1574634,10%,6,5.0
439,1149,20,982597,10%,7,17.0
440,987,5,2080591,15,18,7.0
441,2202,50,1086322,15,12,10.0
442,194,45,2538487,10%,18,14.0
443,3654,2,2096798,15,6,11.0
444,64,3,1257443,15,14,28.0
445,3895,32,746779,15,6,9.0
446,105,25,1308582,15,8,10.0
447,2742,35,2496565,,10,6.0
448,3492,30,2281926,10%,15,26.0
449,4739,15,2437944,15,6,11.0
450,3172,29,2229622,,13,19.0
451,923,2,1522095,15,18,28.0
452,4189,6,815692,0.1,13,14.0
453,3897,29,1224652,0.1,5,26.0
454,1523,36,1097662,15,17,12.0
455,74,22,1736705,,5,14.0
456,4471,6,1843702,,14,22.0
457,3873,29,636266,,13,6.0
458,2791,17,1468771,,5,20.0
459,4842,32,1281491,,11,28.0
460,1127,18,2241030,10%,15,16.0
461,3577,25,583410,15,9,5.0
462,3458,18,1166688,10%,14,20.0
463,498,42,2267789,10%,10,21.0
464,4483,46,2550874,15,8,22.0
465,2229,11,710961,15,6,25.0
466,1597,5,1400010,,7,11.0
467,3242,27,1716816,15,14,27.0
468,3779,44,2410502,10%,12,9.0
469,4930,46,624313,0.1,6,10.0
470,2653,6,2111526,15,11,13.0
471,3886,11,881735,15,16,12.0
472,799,40,708753,,7,12.0
473,107,29,1416136,15,15,14.0
474,1878,32,670743,,19,15.0
475,2552,4,1537649,10%,6,22.0
476,756,5,1486191,10%,14,27.0
477,2233,18,1999966,10%,17,29.0
478,4041,8,2028249,,18,18.0
479,526,23,2284218,10%,8,19.0
480,84,38,1423379,10%,13,29.0
481,528,43,1491631,0.1,11,19.0
482,4304,12,1800163,,13,7.0
483,682,21,2275416,15,9,7.0
484,1395,22,624394,15,5,14.0
485,3737,32,2130137,0.1,7,25.0
486,1072,28,729098,10%,6,14.0
487,1643,18,1790402,,13,
488,1154,3,2101997,15,6,26.0
489,2309,30,1049408,10%,11,27.0
490,233,13,1647722,,16,18.0
491,732,1,1129542,,18,22.0
492,2669,35,1640376,15,9,9.0
493,2178,39,2394581,0.1,6,6.0
494,3477,26,1364385,0.1,15,5.0
495,1948,17,516243,15,7,16.0
496,4049,50,2577610,10%,16,6.0
497,1705,32,1768246,,12,20.0
498,2295,22,1114240,15,6,17.0
499,1247,48,709866,0.1,9,9.0
500,25,39,2494355,0.1,9,8.0
501,2943,25,1929677,15,18,26.0
502,3896,48,2407453,10%,12,18.0
503,172,32,2249264,10%,9,27.0
504,4240,24,2261147,,7,11.0
505,195,8,2336472,,7,21.0
506,3035,44,959140,,8,16.0
507,139,30,1534930,10%,7,23.0
508,3735,13,1208647,10%,5,28.0
509,3310,23,2408596,0.1,13,27.0
510,1639,37,2346458,0.1,17,18.0
511,2560,13,2201019,0.1,16,
512,3546,30,1249453,15,17,10.0
513,232,6,1258884,15,12,13.0
514,1941,30,2536909,10%,17,15.0
515,1596,34,490117,0.1,19,18.0
516,4448,47,1449107,15,7,17.0
517,1087,17,659291,15,5,7.0
518,4694,24,1915603,,12,15.0
519,3878,9,2142620,0.1,16,13.0
520,4187,19,547194,10%,5,9.0
521,2824,31,1053228,15,18,13.0
522,639,43,1881551,10%,7,15.0
523,1307,25,1798060,0.1,15,19.0
524,2981,33,2193269,15,6,
525,3229,38,1831192,,18,28.0
526,2042,50,1060949,10%,18,14.0
527,2480,37,2393922,15,15,23.0
528,1855,46,719450,10%,19,29.0
529,322,35,2124245,,7,26.0
530,3439,32,2353588,10%,13,5.0
531,1150,22,1019901,0.1,16,9.0
532,3275,3,705373,15,11,25.0
533,2164,11,2163727,15,11,19.0
534,712,24,1337938,15,13,
535,3983,34,1196351,,13,23.0
536,4839,30,2100477,10%,6,18.0
537,579,15,1253201,0.1,5,9.0
538,3612,11,1256856,15,16,20.0
539,3917,20,2329299,15,11,14.0
540,3513,24,1788681,0.1,11,
541,1284,10,954668,10%,16,24.0
542,4468,39,2474494,,12,21.0
543,3682,35,1731540,,6,5.0
544,4584,42,1979897,10%,5,19.0
545,2782,31,730475,,7,20.0
546,4976,27,2493991,15,15,13.0
547,1099,5,1307999,0.1,15,19.0
548,4160,12,768109,10%,16,18.0
549,1828,34,1100221,,7,15.0
550,382,11,1599172,10%,16,13.0
551,1036,29,630830,,17,24.0
552,4614,27,510136,10%,14,6.0
553,3193,43,521907,,9,9.0
554,1898,16,1911928,10%,12,29.0
555,2570,15,506499,,18,9.0
556,2919,13,1799867,10%,18,
557,3455,33,1321021,15,5,23.0
558,520,5,1946210,15,7,22.0
559,2466,30,2009717,10%,19,15.0
560,3028,50,2445943,,10,12.0
561,750,50,592709,10%,16,22.0
562,1191,49,1887416,10%,8,11.0
563,3003,26,1406790,15,16,28.0
564,4675,9,1758411,15,14,22.0
565,2594,5,623962,0.1,13,14.0
566,662,35,2347256,15,6,13.0
567,1291,39,1111797,,7,6.0
568,706,40,1276023,0.1,18,29.0
569,2748,1,1701618,,17,24.0
570,1304,39,2501506,,19,20.0
571,3591,3,1557799,15,6,25.0
572,71,9,2424455,,6,14.0
573,564,26,1776757,0.1,15,13.0
574,4640,2,2249073,0.1,17,18.0
575,1588,28,1968236,15,17,17.0
576,1749,20,2463529,,14,28.0
577,428,26,2585041,0.1,8,18.0
578,1260,14,622401,10%,16,15.0
579,2355,2,1456866,10%,7,20.0
580,943,21,1061650,0.1,12,23.0
581,3681,19,878124,15,10,21.0
582,4769,46,1511290,0.1,5,28.0
583,984,15,1605114,0.1,10,
584,758,32,1576195,10%,7,29.0
585,3191,36,2591814,15,7,22.0
586,1062,14,900647,,8,6.0
587,753,35,2187818,,12,
588,4260,9,1953823,15,11,11.0
589,336,34,892920,0.1,17,12.0
590,1049,37,807103,10%,7,10.0
591,1606,31,2238724,10%,5,7.0
592,2971,25,1353978,,10,
593,3046,41,867822,15,18,16.0
594,4683,44,650339,,5,16.0
595,29,10,1911171,15,9,27.0
596,2910,34,2164089,15,17,16.0
597,740,49,1999894,0.1,8,6.0
598,27,15,1451509,15,10,22.0
599,2887,47,1579290,0.1,18,25.0
600,4610,2,1436161,,6,9.0
601,3593,38,1977431,,6,12.0
602,1436,26,556030,0.1,16,14.0
603,1647,42,788435,0.1,9,17.0
604,403,35,1379487,15,5,14.0
605,1295,45,1097983,10%,16,19.0
606,3889,32,2015591,,7,24.0
607,3146,32,780169,0.1,18,24.0
608,4870,43,2297621,10%,14,
609,21,28,2220095,15,17,5.0
610,4887,44,1426967,0.1,10,22.0
611,913,27,1888928,10%,19,13.0
612,4415,15,1436652,15,5,28.0
613,4706,24,1690133,0.1,15,
614,2369,21,1067052,15,15,20.0
615,4899,1,1274565,10%,6,18.0
616,1583,21,903546,0.1,6,13.0
617,1603,23,788492,0.1,18,14.0
618,4673,22,1988340,10%,14,8.0
619,1155,50,2348423,10%,13,8.0
620,210,31,2059973,,17,11.0
621,3087,50,2155265,,11,8.0
622,2427,29,911186,0.1,6,5.0
623,4494,39,2292784,15,17,8.0
624,549,47,2014711,15,5,22.0
625,988,1,1571670,10%,17,12.0
626,2320,1,1051520,0.1,5,29.0
627,3987,50,1737293,15,15,23.0
628,1240,18,2446659,0.1,13,7.0
629,20,41,659129,15,18,28.0
630,3932,49,974926,10%,19,23.0
631,1396,11,2297300,,9,19.0
632,1419,47,873274,0.1,12,26.0
633,4407,44,2350589,15,9,14.0
634,1725,37,496510,10%,6,11.0
635,4490,6,1802584,0.1,15,24.0
636,785,12,1361805,0.1,16,24.0
637,3955,35,703273,10%,5,8.0
638,1297,41,494198,15,16,12.0
639,1946,41,2028025,15,11,14.0
640,3825,8,2235619,10%,11,9.0
641,88,43,1571981,15,18,6.0
642,3313,1,828273,,19,15.0
643,3294,43,2168336,0.1,13,15.0
644,2510,2,541288,0.1,10,
645,314,35,2372662,15,10,12.0
646,382,34,1747922,15,5,13.0
647,3328,42,2125010,0.1,15,8.0
648,1117,16,2464131,0.1,6,14.0
649,3572,42,512117,,7,10.0
650,4594,8,1086091,,16,17.0
651,2132,6,986271,,16,23.0
652,3984,40,2401583,10%,5,8.0
653,2248,4,1874962,15,14,22.0
654,2690,23,2517020,15,9,11.0
655,3288,14,1038701,0.1,17,14.0
656,1834,25,1417786,10%,14,
657,1787,36,952505,15,12,6.0
658,1776,34,1214819,10%,10,16.0
659,4,38,1719260,0.1,12,
660,2570,12,2449894,0.1,12,22.0
661,3699,21,2552442,10%,13,
662,2839,45,1836098,15,18,14.0
663,2254,15,877637,10%,12,11.0
664,3146,45,1207703,15,9,18.0
665,4924,17,672047,,10,20.0
666,1819,50,1904027,0.1,10,28.0
667,604,24,2079264,,13,17.0
668,4565,28,1687340,10%,19,13.0
669,1799,31,1060817,,10,10.0
670,3111,44,676834,15,7,8.0
671,2851,31,2253624,,8,26.0
672,1424,21,959840,15,14,11.0
673,4762,33,1248708,10%,7,10.0
674,2372,10,1512882,15,12,13.0
675,957,2,2447413,0.1,11,20.0
676,4457,11,2107748,15,17,15.0
677,2347,15,1279308,15,12,10.0
678,117,49,1385151,10%,10,8.0
679,882,25,1412937,,15,22.0
680,1992,34,2210562,10%,19,11.0
681,1947,23,1589900,15,7,28.0
682,1548,43,1247926,10%,9,27.0
683,1706,28,1932605,10%,7,18.0
684,3744,4,595571,,14,26.0
685,656,3,2434451,10%,17,6.0
686,1147,14,2311639,0.1,9,7.0
687,967,29,736297,0.1,13,24.0
688,2528,21,2012802,0.1,18,22.0
689,3410,17,1864568,0.1,9,13.0
690,3753,6,1932318,15,10,26.0
691,1270,45,2479223,15,11,9.0
692,303,50,694848,,17,26.0
693,1675,48,1906987,0.1,16,20.0
694,3448,5,1249565,15,5,23.0
695,4455,1,1768668,10%,12,12.0
696,4852,10,1658057,,6,21.0
697,349,5,1883020,15,12,12.0
698,2176,28,1774859,0.1,15,20.0
699,2500,32,2232551,10%,8,19.0
700,4974,7,2138900,10%,18,21.0
701,1809,42,1211777,,5,23.0
702,4338,2,781162,0.1,17,7.0
703,4761,22,823703,,11,19.0
704,4474,28,1239222,15,17,19.0
705,3131,33,722598,,13,16.0
706,3658,39,2515385,15,13,23.0
707,484,31,2464952,10%,8,8.0
708,2156,34,1407183,,19,12.0
709,4048,10,2548497,,16,11.0
710,2572,28,1034829,15,12,5.0
711,2449,24,1926770,10%,11,25.0
712,2539,14,1513592,0.1,8,10.0
713,3048,36,2496921,10%,12,20.0
714,2848,2,1789550,0.1,5,5.0
715,4335,34,2080890,15,13,15.0
716,3666,35,1381819,0.1,19,7.0
717,4568,48,1950717,15,16,28.0
718,1928,43,1635322,0.1,8,27.0
719,3691,11,503436,15,5,5.0
720,161,32,2564303,0.1,17,19.0
721,3468,38,1021936,,16,
722,4258,36,2551892,15,16,14.0
723,3713,47,913710,15,13,16.0
724,2461,42,554484,0.1,6,6.0
725,3622,17,1561527,,6,16.0
726,2581,21,1499316,,16,27.0
727,4702,31,564757,10%,18,19.0
728,788,5,1026399,10%,15,10.0
729,3935,22,2434515,0.1,6,15.0
730,232,29,1286872,10%,12,18.0
731,4866,1,485298,15,10,11.0
732,3883,30,1745625,,12,15.0
733,1822,26,991631,0.1,16,28.0
734,3239,22,837244,,7,
735,4290,10,505825,10%,13,21.0
736,997,13,1142188,10%,18,21.0
737,4707,25,2530746,10%,7,9.0
738,3713,15,1823258,0.1,8,6.0
