service_id,order_item_id,service_date,issue_type,service_cost
99,6202,25-08-2023 00:53,ENGINE,7836
100,563,28-07-2023 12:54,Brake,8394
101,952,04-12-2023 01:51,Engine,16130
102,6979,04-01-2023 07:22,Engine,5109
103,2520,03-02-2023 10:41,Electrical,4422
104,101,02-11-2023 21:38,Electrical,3075
105,2558,18-08-2023 04:30,Engine,3277
106,6552,04-05-2023 00:51,Electrical,19821
107,5271,12-05-2023 11:25,BRAKE,16654
108,3350,19-01-2024 12:29,Electrical,4467
109,3906,29-10-2023 18:03,ENGINE,2074
110,2573,19-03-2024 06:53,Electrical,16004
111,2825,21-11-2023 13:35,Brake,19646
112,4503,26-08-2023 11:44,electrical,2492
113,281,28-02-2023 15:00,Electrical,10293
114,982,17-03-2024 17:01,ENGINE,1945
115,5481,13-03-2023 10:55,BRAKE,17778
116,3247,03-03-2023 18:47,electrical,15656
117,3131,08-04-2023 14:17,Brake,10579
118,1122,10-11-2023 18:41,BRAKE,5862
119,724,27-01-2023 18:59,electrical,9905
120,6836,11-02-2023 01:36,electrical,2845
121,2345,19-03-2023 01:41,Brake,2297
122,2472,11-07-2023 08:56,electrical,2404
123,3100,26-07-2023 06:49,Electrical,7863
124,1022,25-03-2024 11:53,Electrical,17794
125,4649,30-08-2023 10:12,ENGINE,7426
126,3663,25-05-2023 09:29,ENGINE,19063
127,6478,20-04-2023 01:14,Brake,3717
128,585,14-05-2023 11:06,electrical,8649
129,1030,18-05-2023 02:22,Electrical,7363
130,918,03-12-2023 13:35,ENGINE,13848
131,5121,12-03-2023 20:58,Engine,13878
132,2534,22-07-2023 16:38,Engine,6727
133,2784,10-02-2024 21:03,ENGINE,10629
134,1792,20-03-2024 23:18,Electrical,12472
135,3611,15-06-2023 23:25,Brake,2629
136,2959,03-05-2023 22:19,Brake,1238
137,3169,03-10-2023 01:31,BRAKE,16434
138,5164,18-02-2024 12:29,Electrical,11636
139,5023,31-01-2023 01:37,Engine,14507
140,6981,15-10-2023 23:11,Electrical,18670
141,2748,06-04-2023 15:02,ENGINE,10687
142,3831,02-02-2024 08:12,Engine,1133
143,3826,25-03-2023 12:50,Electrical,1960
144,4716,21-11-2023 13:25,Engine,2333
145,1761,31-03-2023 11:33,Engine,19340
146,5164,15-07-2023 15:03,Electrical,9457
147,6057,18-10-2023 05:41,BRAKE,1241
148,1487,12-03-2024 01:13,electrical,4027
149,3512,04-02-2024 03:40,Electrical,11957
150,703,29-03-2024 12:54,BRAKE,4530
151,5021,16-01-2024 13:52,Electrical,5398
152,356,23-12-2023 16:53,BRAKE,1812
153,4366,14-09-2023 14:38,electrical,19971
154,5844,07-03-2023 01:37,electrical,7481
155,2781,17-11-2023 11:25,Brake,18483
156,4871,09-05-2023 07:00,ENGINE,8323
157,259,13-10-2023 10:40,Electrical,5225
158,5962,13-02-2024 09:21,BRAKE,4033
159,4789,08-09-2023 16:33,Brake,13600
160,2047,10-01-2024 14:17,ENGINE,19935
161,1945,25-10-2023 04:49,ENGINE,19937
162,32,25-01-2024 09:39,Brake,18431
163,506,23-06-2023 16:43,Electrical,1562
164,365,30-08-2023 13:34,Engine,13419
165,4919,26-02-2023 03:28,BRAKE,9984
166,4368,10-12-2023 07:43,BRAKE,12440
167,1996,01-06-2023 07:50,Electrical,15021
168,3272,11-10-2023 18:08,BRAKE,4466
169,554,20-04-2023 21:55,Electrical,6721
170,1666,05-03-2023 02:38,ENGINE,13386
171,1542,14-08-2023 15:13,Brake,2769
172,2660,09-06-2023 19:32,ENGINE,6739
173,5237,09-12-2023 21:03,Electrical,18991
174,3354,10-11-2023 16:24,BRAKE,12550
175,6126,11-02-2024 17:22,Electrical,19801
176,6749,13-08-2023 22:28,Engine,3492
177,3396,30-10-2023 03:28,ENGINE,6619
178,298,22-07-2023 05:57,Brake,3678
179,4914,24-02-2024 10:47,Brake,6538
180,1954,29-09-2023 16:47,Brake,17820
181,1145,11-08-2023 01:10,ENGINE,15234
182,3135,29-03-2024 11:19,Engine,16169
183,5979,03-01-2024 05:02,BRAKE,18567
184,1540,13-01-2024 02:11,Brake,18362
185,6433,28-11-2023 21:05,electrical,13668
186,6074,03-01-2024 13:26,ENGINE,17661
187,5174,30-09-2023 06:36,ENGINE,19456
188,2536,23-06-2023 12:38,Brake,11375
189,1818,29-01-2023 10:57,BRAKE,19254
190,5742,09-03-2024 19:24,Electrical,15387
191,1865,03-02-2023 10:59,electrical,3235
192,5467,16-05-2023 11:06,Electrical,12613
193,6817,03-10-2023 08:15,ENGINE,2563
194,199,31-05-2023 20:50,Brake,4980
195,3025,30-10-2023 05:54,Engine,13494
196,1090,26-02-2023 14:13,Engine,11190
197,1474,06-05-2023 00:12,ENGINE,6903
198,284,18-06-2023 02:03,BRAKE,10313
199,483,14-03-2024 01:49,BRAKE,16919
200,467,01-04-2023 00:07,ENGINE,11053
201,6628,20-01-2024 01:39,ENGINE,18130
202,6630,22-03-2023 14:15,ENGINE,6327
203,6260,01-09-2023 00:35,Engine,6945
204,3607,24-06-2023 00:00,electrical,4278
205,900,28-02-2023 12:30,Electrical,13050
206,218,27-03-2023 22:20,BRAKE,1456
207,6991,14-03-2023 22:55,Brake,6310
208,1451,27-08-2023 00:22,Electrical,16354
209,5001,30-05-2023 00:53,Electrical,1014
210,2146,03-01-2024 23:50,electrical,15053
211,4897,30-12-2023 04:02,electrical,9424
212,2247,19-11-2023 21:07,ENGINE,10699
213,6535,05-03-2024 19:33,BRAKE,19732
214,552,30-10-2023 02:21,Brake,13216
215,949,28-06-2023 19:48,ENGINE,1146
216,5030,26-08-2023 11:11,Brake,13032
217,1827,27-09-2023 02:32,Engine,7231
218,2896,13-02-2024 06:31,ENGINE,14378
219,4667,01-09-2023 11:28,ENGINE,4279
220,1202,29-01-2023 08:29,Brake,8910
221,448,06-02-2023 09:19,ENGINE,11812
222,2024,07-08-2023 20:40,ENGINE,7240
223,4960,27-03-2023 13:25,BRAKE,14088
224,2648,20-02-2023 13:10,Electrical,11464
225,4756,12-10-2023 11:43,BRAKE,19664
226,6408,03-01-2023 04:49,Engine,18004
227,2599,02-07-2023 03:44,BRAKE,18567
228,4726,18-03-2024 07:48,Electrical,5580
229,4291,27-11-2023 05:46,Brake,18395
230,2120,24-03-2023 13:20,electrical,11421
231,226,28-02-2024 18:27,Brake,5135
232,3598,26-03-2024 03:02,electrical,7553
233,1429,03-01-2024 03:08,ENGINE,6880
234,5029,08-04-2023 05:02,Brake,7753
235,6339,29-09-2023 20:52,electrical,2672
236,4250,13-04-2023 18:16,electrical,19412
237,3923,02-03-2023 10:28,ENGINE,18728
238,6259,19-11-2023 09:12,electrical,4560
239,3281,02-11-2023 16:43,Brake,3224
240,4000,07-12-2023 06:11,Electrical,9204
241,3,11-01-2023 03:43,Electrical,18381
242,6712,03-01-2024 06:18,Brake,10170
243,6680,29-02-2024 09:23,BRAKE,12075
244,4172,01-12-2023 00:22,Engine,12002
245,828,01-02-2024 01:02,electrical,2254
246,6032,13-11-2023 13:41,electrical,2960
247,717,14-08-2023 00:06,electrical,8081
248,3353,19-04-2023 21:54,Brake,16500
249,4830,19-12-2023 07:07,electrical,5078
250,5056,21-02-2024 18:24,BRAKE,5304
251,3917,19-12-2023 15:07,Engine,19433
252,4576,20-01-2023 21:49,electrical,16703
253,2224,07-10-2023 17:31,Electrical,10160
254,4676,15-05-2023 06:54,electrical,2671
255,4144,15-11-2023 16:03,Brake,19604
256,2804,27-01-2024 19:38,Engine,11536
257,742,15-03-2023 10:34,Engine,4454
258,2421,12-07-2023 04:40,Brake,14225
259,1098,01-07-2023 07:17,Brake,10702
260,957,11-05-2023 04:53,electrical,17211
261,3252,04-08-2023 13:52,Electrical,3542
262,2132,07-02-2023 05:21,BRAKE,14806
263,2039,07-03-2023 04:31,ENGINE,13443
264,5608,19-09-2023 05:24,Electrical,14063
265,4456,05-10-2023 04:46,ENGINE,12121
266,6967,17-01-2024 01:18,Brake,3037
267,1412,14-07-2023 23:50,BRAKE,16124
268,2497,07-10-2023 18:57,Brake,19837
269,1859,03-08-2023 03:39,Engine,19958
270,4565,11-01-2024 15:22,Engine,2164
271,2728,25-08-2023 19:55,Brake,5304
272,2955,29-03-2024 04:11,BRAKE,8943
273,354,10-08-2023 06:08,electrical,17760
274,3685,23-07-2023 20:10,Engine,14656
275,3270,04-06-2023 14:04,Electrical,4466
276,3860,07-01-2024 13:55,ENGINE,16744
277,276,24-07-2023 03:28,Electrical,4852
278,4710,14-12-2023 15:58,Electrical,7917
279,5032,27-06-2023 03:04,BRAKE,11486
280,3696,13-01-2023 17:58,ENGINE,6492
281,930,26-07-2023 05:36,Engine,3309
282,7,17-12-2023 12:52,ENGINE,16672
283,5807,28-06-2023 23:10,Brake,11008
284,304,04-07-2023 01:19,Engine,2550
285,29,02-02-2023 04:08,ENGINE,5701
286,47,10-03-2024 04:21,Brake,4639
287,2,29-10-2023 07:29,ENGINE,2367
288,5764,03-11-2023 05:38,BRAKE,15917
289,3921,06-03-2023 03:15,Electrical,11519
290,183,22-03-2024 15:24,BRAKE,10944
291,2965,18-01-2024 22:02,Engine,2480
292,6211,27-12-2023 22:39,Brake,18082
293,3833,17-04-2023 23:18,Electrical,2162
294,1833,04-03-2023 14:39,BRAKE,15200
295,3250,18-11-2023 21:44,ENGINE,8264
296,2202,29-09-2023 05:18,Electrical,3811
297,5355,27-12-2023 21:52,electrical,12412
298,5397,13-03-2023 00:26,Electrical,8238
299,5396,02-01-2023 22:11,BRAKE,1172
300,2612,25-01-2023 14:33,electrical,3293
301,1583,02-03-2024 04:53,Engine,16649
302,2802,27-09-2023 18:10,electrical,15274
303,5340,18-07-2023 00:33,Engine,17892
304,3783,08-03-2023 05:30,BRAKE,16306
305,3991,02-11-2023 12:14,Engine,5155
306,5905,23-07-2023 00:35,Brake,2801
307,5535,20-01-2023 09:33,ENGINE,9556
308,5960,14-04-2023 10:53,Brake,12726
309,681,04-10-2023 12:04,Electrical,18600
310,741,04-10-2023 21:22,electrical,8168
311,392,31-03-2023 21:11,Brake,2844
312,639,24-11-2023 23:50,BRAKE,5555
313,4813,05-11-2023 12:02,Electrical,5998
314,1615,21-03-2024 15:40,Engine,19068
315,1400,11-12-2023 15:18,BRAKE,12763
316,3417,05-03-2023 09:36,ENGINE,16874
317,1621,30-01-2023 08:26,electrical,8214
318,1948,26-08-2023 09:46,electrical,10557
319,583,11-09-2023 15:53,Electrical,3110
320,1203,24-03-2023 05:03,Electrical,15149
321,5721,14-05-2023 13:35,Electrical,12468
322,5962,17-09-2023 04:46,BRAKE,13875
323,4478,16-03-2024 15:15,ENGINE,8808
324,1705,11-02-2024 05:42,BRAKE,13031
325,2203,09-04-2023 15:25,BRAKE,15406
326,5202,07-11-2023 23:18,ENGINE,5560
327,5551,18-03-2023 22:36,Electrical,11508
328,4062,03-12-2023 12:45,BRAKE,4919
329,4336,18-01-2023 16:43,electrical,12348
330,6879,18-01-2024 12:12,Electrical,4872
331,3215,14-10-2023 07:51,Electrical,14158
332,4086,21-04-2023 19:52,Engine,9096
333,2160,24-01-2023 01:31,ENGINE,7634
334,3332,07-02-2023 16:50,electrical,7649
335,2212,12-02-2023 08:06,Engine,9355
336,3524,04-03-2024 01:34,Electrical,14220
337,3644,29-01-2023 03:24,Electrical,2064
338,6871,08-09-2023 18:07,BRAKE,8486
339,6239,29-01-2024 19:44,Engine,15265
340,5658,20-09-2023 05:19,ENGINE,8872
341,11,06-12-2023 08:49,electrical,11043
342,981,09-04-2023 23:29,BRAKE,1452
343,3675,23-12-2023 07:36,electrical,17157
344,3828,08-03-2024 16:30,Engine,8366
345,3451,10-12-2023 16:36,BRAKE,12690
346,5703,15-07-2023 05:03,BRAKE,17101
347,989,12-07-2023 22:12,Electrical,8818
348,2989,03-05-2023 12:37,electrical,10237
349,5337,23-03-2024 11:52,Brake,5663
350,1777,17-01-2023 18:02,Engine,14430
351,1894,10-01-2024 02:43,electrical,11451
352,5520,02-06-2023 22:22,ENGINE,14902
353,2478,13-12-2023 09:03,Electrical,14442
354,4227,23-06-2023 20:10,Engine,6897
355,3900,20-06-2023 08:09,BRAKE,1373
356,6955,22-01-2024 12:49,Engine,7640
357,3233,01-07-2023 09:38,BRAKE,12457
358,2119,25-11-2023 04:40,Electrical,3030
359,5362,24-01-2024 22:22,BRAKE,2142
360,4716,03-04-2023 04:17,Engine,11509
361,3944,26-05-2023 18:15,electrical,17783
362,3968,29-12-2023 02:44,Brake,6651
363,1147,03-08-2023 23:45,Brake,3583
364,3599,14-02-2024 20:16,BRAKE,18402
365,5576,14-01-2024 22:05,Electrical,17170
366,6425,07-03-2024 21:59,Engine,7616
367,6145,24-01-2024 15:02,ENGINE,15506
368,4288,31-01-2024 21:43,electrical,5767
369,2762,24-05-2023 07:16,Engine,19264
370,2286,24-03-2023 03:58,ENGINE,11107
371,4624,26-10-2023 04:17,Electrical,4683
372,4280,08-02-2024 08:04,Engine,10796
373,3212,23-06-2023 22:09,ENGINE,8170
374,4441,27-12-2023 21:00,Brake,2194
375,6615,02-10-2023 14:51,Engine,16633
376,846,02-10-2023 04:11,Electrical,19294
377,136,11-11-2023 05:52,electrical,18448
378,90,17-04-2023 04:26,Electrical,14137
379,6594,12-03-2023 10:46,Electrical,6768
380,6124,16-03-2023 06:27,Engine,19419
381,6441,18-09-2023 14:47,Brake,5736
382,4796,28-01-2023 15:13,electrical,18517
383,5652,18-08-2023 08:18,Electrical,8943
384,3543,22-02-2023 00:27,ENGINE,3408
385,6005,27-07-2023 04:56,ENGINE,19858
386,2638,22-03-2024 06:18,Electrical,1632
387,4922,31-03-2023 01:28,BRAKE,11646
388,4326,07-01-2023 11:11,electrical,11455
389,4207,21-03-2023 16:14,Brake,18553
390,5084,10-11-2023 22:04,BRAKE,17647
391,380,03-03-2024 20:50,ENGINE,17973
392,5556,11-01-2023 01:49,BRAKE,11081
393,1887,22-08-2023 13:02,ENGINE,12699
394,6066,19-02-2023 03:59,BRAKE,12050
395,668,21-03-2024 08:40,Brake,13471
396,6754,06-12-2023 12:11,Electrical,5173
397,2542,14-09-2023 11:33,Electrical,18653
398,6338,21-09-2023 13:33,Electrical,1495
399,6979,15-07-2023 06:39,BRAKE,12626
400,3167,16-07-2023 15:41,Electrical,7494
401,2112,08-02-2024 22:44,BRAKE,17635
402,464,03-01-2024 22:49,Engine,2243
403,4253,06-11-2023 20:06,Electrical,4138
404,1517,20-01-2024 10:00,ENGINE,15365
405,6072,30-03-2024 21:09,Engine,19653
406,1159,17-12-2023 16:58,BRAKE,15003
407,4780,11-02-2023 16:02,electrical,12457
408,365,27-08-2023 08:19,Electrical,12259
409,6843,12-02-2024 11:49,Brake,3190
410,4650,16-01-2024 18:16,Brake,14898
411,4966,05-12-2023 04:48,Brake,18100
412,2684,01-10-2023 16:29,Brake,18904
413,3700,21-05-2023 07:56,electrical,5076
414,6091,15-09-2023 14:10,Engine,18687
415,3218,18-01-2023 06:12,Electrical,2876
416,4141,01-01-2023 13:29,Engine,1462
417,2842,27-08-2023 03:17,Brake,12029
418,5753,21-03-2024 20:12,Brake,12986
419,2573,23-10-2023 18:46,Brake,13294
420,292,12-08-2023 19:37,BRAKE,6418
421,2539,05-08-2023 04:33,electrical,16388
422,4162,19-10-2023 01:15,electrical,14061
423,6127,17-01-2024 15:02,Electrical,16455
424,1569,07-10-2023 19:35,Engine,9868
425,924,27-02-2024 00:18,ENGINE,16820
426,763,23-04-2023 07:07,Engine,17649
427,2390,02-02-2024 21:17,Electrical,19815
428,5166,10-07-2023 16:25,electrical,19026
429,1943,21-12-2023 09:39,Engine,1611
430,6679,31-12-2023 20:17,electrical,4686
431,3429,08-01-2023 01:53,Engine,10328
432,1964,06-05-2023 21:41,Electrical,10119
433,5031,20-03-2024 00:36,Engine,8668
434,1845,28-05-2023 15:11,ENGINE,14773
435,6384,11-12-2023 08:58,Electrical,3856
436,5983,15-11-2023 19:52,Brake,10807
437,5271,01-01-2024 06:18,Engine,12717
438,6581,17-12-2023 03:54,ENGINE,9852
439,3272,07-11-2023 15:10,ENGINE,6844
440,1631,06-08-2023 02:04,Brake,19078
441,4561,09-07-2023 09:13,Brake,13593
442,5602,18-08-2023 21:40,Engine,9590
443,5101,29-07-2023 18:48,ENGINE,17467
444,3223,14-03-2023 04:50,BRAKE,18801
445,5169,08-06-2023 10:54,Engine,3546
446,3815,01-01-2023 10:10,BRAKE,6399
447,5929,05-04-2023 03:24,Engine,13436
448,6105,26-03-2024 19:40,BRAKE,9551
449,412,08-11-2023 12:55,BRAKE,1340
450,5647,23-01-2024 17:24,Engine,3482
451,5525,13-05-2023 05:27,Engine,9031
452,1414,06-02-2024 11:04,electrical,9208
453,6536,18-12-2023 20:35,Brake,2862
454,2081,15-01-2023 20:24,Electrical,16138
455,6293,03-08-2023 08:24,ENGINE,19596
456,4437,02-01-2023 22:18,Electrical,11217
457,2378,13-01-2024 13:45,Electrical,16994
458,2920,08-03-2024 12:04,BRAKE,4654
459,324,05-07-2023 09:28,Engine,19211
460,1673,28-07-2023 00:51,electrical,18677
461,1246,25-12-2023 13:57,Engine,18078
462,5749,30-01-2023 16:58,Engine,15458
463,2076,07-08-2023 13:27,BRAKE,19251
464,5342,12-09-2023 00:49,BRAKE,11982
465,5976,23-02-2024 15:08,ENGINE,10331
466,2890,13-05-2023 09:19,BRAKE,11226
467,5030,03-02-2024 04:16,BRAKE,6785
468,3539,21-12-2023 22:04,BRAKE,18531
469,6250,29-10-2023 13:31,electrical,7664
470,353,23-05-2023 13:42,Brake,3676
471,1177,26-01-2024 02:15,ENGINE,7069
472,3605,23-08-2023 19:42,Electrical,10481
473,4624,24-05-2023 18:17,Engine,3344
474,3375,14-06-2023 12:26,Brake,10340
475,6948,13-09-2023 19:38,ENGINE,6593
476,4261,20-09-2023 06:34,Electrical,2383
477,4491,04-01-2023 20:29,Brake,14628
478,6257,26-04-2023 17:22,Electrical,11897
479,6791,20-03-2023 22:19,Engine,8133
480,6912,05-01-2024 18:25,Electrical,6109
481,4052,22-01-2023 13:22,electrical,15923
482,6697,13-10-2023 16:31,Engine,4879
483,5895,29-11-2023 18:07,ENGINE,10373
484,5685,20-08-2023 02:35,electrical,14791
485,2038,09-10-2023 19:27,ENGINE,13137
486,5963,23-03-2023 11:08,electrical,12122
487,6770,15-09-2023 09:35,Engine,15016
488,319,30-01-2024 22:40,electrical,7509
489,3772,02-09-2023 22:07,Brake,13166
490,3753,11-03-2024 21:27,Brake,7361
491,6491,05-12-2023 12:49,Brake,8622
492,6689,26-02-2023 13:33,Electrical,8249
493,1544,12-08-2023 07:50,electrical,3202
494,5121,11-02-2024 15:23,electrical,12056
495,2365,29-01-2023 14:36,electrical,3941
496,4896,17-02-2023 12:33,Brake,15319
497,479,09-06-2023 10:48,Engine,6045
498,4483,21-02-2023 04:41,Electrical,5592
499,3541,08-01-2023 11:08,Engine,15457
500,2501,31-01-2024 22:20,Brake,7215
501,5292,28-05-2023 21:04,Engine,14848
502,4120,08-02-2024 02:57,ENGINE,12497
503,3826,04-06-2023 11:02,Electrical,16142
504,1997,22-12-2023 14:45,Electrical,15097
505,3224,11-01-2023 06:44,Brake,17049
506,6409,29-12-2023 02:11,Brake,3169
507,6385,24-02-2023 10:26,ENGINE,3804
508,2896,17-11-2023 03:50,Electrical,11545
509,1259,21-01-2023 12:57,ENGINE,9713
510,1836,05-02-2023 16:33,Electrical,10756
511,4589,08-06-2023 16:05,Electrical,16852
512,3801,19-02-2024 13:02,electrical,1436
513,911,10-05-2023 10:10,electrical,16633
514,5534,14-12-2023 17:44,BRAKE,6640
515,2218,15-10-2023 18:39,Electrical,14885
516,269,08-06-2023 21:15,ENGINE,9570
517,1900,21-02-2023 21:47,Brake,19620
518,2581,31-05-2023 20:48,ENGINE,15623
519,2918,26-03-2024 10:32,Electrical,10951
520,2383,19-09-2023 16:19,electrical,8335
521,4737,03-12-2023 09:41,electrical,8016
522,570,02-03-2024 08:18,Brake,7328
523,5624,11-05-2023 20:44,Brake,14483
524,3728,23-11-2023 02:33,Electrical,19692
525,6009,17-07-2023 22:12,Engine,9452
526,3485,06-02-2023 03:29,Engine,12297
527,6231,22-04-2023 17:58,electrical,16750
528,3313,27-04-2023 13:12,Electrical,17713
529,979,25-05-2023 10:07,BRAKE,2148
530,3491,20-02-2024 19:06,electrical,5890
531,5755,22-07-2023 14:40,Engine,17664
532,3769,23-05-2023 04:27,ENGINE,19307
533,2416,13-05-2023 21:25,Electrical,11207
534,2075,07-10-2023 04:30,Brake,18080
535,6204,29-03-2024 03:41,Electrical,19707
536,3426,26-05-2023 08:00,electrical,12971
537,3691,30-07-2023 19:42,Electrical,17424
538,1392,05-09-2023 16:27,Electrical,16805
539,5178,01-09-2023 06:51,Electrical,12227
540,1287,09-08-2023 15:29,Brake,15408
541,1612,11-04-2023 02:57,Electrical,5723
542,4528,09-10-2023 17:08,Electrical,5028
543,6896,04-02-2024 18:13,Brake,7601
544,918,30-05-2023 17:56,Engine,11028
545,4001,15-08-2023 07:05,electrical,8544
546,588,08-09-2023 09:49,electrical,18880
547,4956,03-03-2023 07:52,ENGINE,10640
548,277,12-06-2023 13:50,Engine,12618
549,872,19-04-2023 07:13,Electrical,12825
550,4902,22-02-2023 21:01,Electrical,6733
551,1103,20-09-2023 02:58,Electrical,16550
552,3360,21-03-2023 02:10,electrical,4244
553,6214,07-01-2023 08:53,Brake,2123
554,289,21-09-2023 04:49,ENGINE,7847
555,83,15-08-2023 23:21,ENGINE,17005
556,6642,23-06-2023 20:24,Engine,17355
557,6882,08-01-2023 08:02,BRAKE,10956
558,4254,06-01-2024 15:54,BRAKE,4944
559,27,29-02-2024 08:05,Engine,5099
560,2330,16-03-2023 16:04,BRAKE,19562
561,824,19-06-2023 13:06,Electrical,19253
562,6743,14-11-2023 08:30,BRAKE,3256
563,1983,03-05-2023 05:29,Engine,17078
564,699,13-08-2023 13:05,Brake,16742
565,1692,14-02-2023 22:41,Brake,14864
566,5835,04-01-2023 16:19,Engine,18507
567,4501,09-05-2023 05:02,Brake,16061
568,6985,19-02-2024 04:56,Electrical,12985
569,2415,18-10-2023 20:00,ENGINE,14271
570,2790,30-01-2023 14:00,ENGINE,2962
571,3980,18-10-2023 21:06,Electrical,5100
572,1751,14-03-2023 19:55,electrical,4757
573,5097,26-11-2023 19:51,Electrical,10313
574,3168,15-08-2023 13:49,BRAKE,9431
575,2675,18-04-2023 23:32,Brake,6037
576,3059,17-01-2023 22:48,BRAKE,5444
577,1255,13-05-2023 02:16,ENGINE,1159
578,2230,24-08-2023 11:57,Electrical,5177
579,3612,28-09-2023 11:44,BRAKE,8957
580,1226,21-02-2023 07:53,ENGINE,5096
581,4816,26-06-2023 22:53,Engine,7952
582,3189,23-10-2023 12:14,ENGINE,2293
583,637,07-04-2023 20:37,electrical,15303
584,2388,05-10-2023 09:36,ENGINE,14662
585,1336,08-12-2023 07:29,Electrical,11289
586,6742,12-12-2023 21:20,Electrical,12832
587,3576,31-01-2024 09:11,Engine,1306
588,554,13-02-2024 09:44,BRAKE,5802
