snapshot_id,snapshot_date,dealership_id,model_id,stock_on_hand
55,2023-12-04 04:37:14,19,47,8.0
56,2023-01-21 08:59:59,1,12,24.0
57,2023-10-22 16:42:05,27,10,20.0
58,2023-06-20 19:27:56,16,16,39.0
59,2023-03-13 00:27:42,28,47,12.0
60,2023-06-30 11:32:19,18,43,36.0
61,2023-05-13 19:05:11,24,24,38.0
62,2023-05-25 22:50:55,13,39,38.0
63,2023-07-13 00:38:54,1,8,18.0
64,2023-09-25 15:33:08,10,11,16.0
65,2023-09-26 16:01:45,7,41,28.0
66,2023-06-08 03:27:20,5,26,27.0
67,2023-02-17 22:56:43,13,7,0.0
68,2023-01-26 12:05:31,22,15,7.0
69,2023-12-21 13:53:29,16,15,8.0
70,2023-07-26 13:23:48,24,48,27.0
71,2023-09-03 06:55:59,20,3,24.0
72,2023-05-01 14:47:11,22,16,36.0
73,2023-11-02 13:38:40,14,15,25.0
74,2023-02-08 05:32:11,11,25,35.0
75,2023-09-24 16:59:52,19,33,9.0
76,2023-12-20 14:15:39,23,14,34.0
77,2023-08-17 08:37:24,2,24,34.0
78,2023-12-13 23:05:25,28,11,33.0
79,2023-03-28 16:38:11,8,3,20.0
80,2023-09-14 12:25:25,13,9,0.0
81,2023-07-18 18:46:51,7,6,11.0
82,2023-03-13 14:59:03,12,31,39.0
83,2023-06-26 22:12:50,28,16,1.0
84,2023-02-13 21:38:12,8,11,4.0
85,2023-01-21 00:50:41,16,50,9.0
86,2023-10-11 16:42:21,18,17,34.0
87,2023-12-27 02:20:17,19,49,7.0
88,2023-03-12 18:05:00,28,3,7.0
89,2023-07-10 14:36:25,4,19,27.0
90,2023-07-06 01:01:32,28,24,28.0
91,2023-08-24 17:42:07,25,47,2.0
92,2023-01-28 23:26:49,28,42,36.0
93,2023-07-20 06:42:21,12,8,3.0
94,2023-09-30 09:24:26,16,49,37.0
95,2023-02-03 20:40:09,21,36,9.0
96,2023-12-03 12:03:49,22,40,33.0
97,2023-04-16 20:19:15,17,2,9.0
98,2023-06-24 02:15:16,4,23,23.0
99,2023-07-21 04:52:48,30,40,21.0
100,2023-07-29 16:24:38,20,30,15.0
101,2023-10-01 04:53:11,26,25,37.0
102,2023-05-03 16:18:48,24,7,14.0
103,2023-03-30 23:21:08,24,28,0.0
104,2023-09-22 23:41:38,26,41,36.0
105,2023-03-25 09:13:45,22,50,23.0
106,2023-03-01 16:56:10,24,17,16.0
107,2023-02-25 19:50:16,9,32,37.0
108,2023-03-02 07:26:06,5,1,5.0
109,2023-07-27 08:15:33,17,27,9.0
110,2023-10-07 08:27:58,17,44,1.0
111,2023-03-06 08:27:48,2,36,39.0
112,2023-02-04 05:32:12,2,49,27.0
113,2023-08-08 06:06:10,21,7,0.0
114,2023-01-04 11:06:29,23,3,38.0
115,2023-03-17 08:00:50,7,30,29.0
116,2023-01-19 01:04:09,4,1,34.0
117,2023-03-13 00:40:21,13,34,37.0
118,2023-11-14 08:51:15,20,38,38.0
119,2023-08-10 15:55:10,30,43,38.0
120,2023-04-17 23:56:01,30,36,24.0
121,2023-01-06 20:10:55,11,33,22.0
122,2023-12-01 23:31:51,26,43,14.0
123,2023-05-23 22:37:23,3,16,38.0
124,2023-01-03 17:47:04,27,38,11.0
125,2023-11-30 14:36:06,2,11,6.0
126,2023-04-20 10:49:47,16,8,8.0
127,2023-08-19 15:10:25,3,1,34.0
128,2023-09-04 19:40:19,24,14,8.0
129,2023-07-12 12:32:36,15,30,11.0
130,2023-08-29 18:28:18,17,21,7.0
131,2023-04-27 15:05:32,16,21,15.0
132,2023-12-02 18:06:44,20,34,15.0
133,2023-02-18 05:18:09,7,38,33.0
134,2023-11-19 19:57:30,16,26,26.0
135,2023-04-28 23:54:10,5,41,6.0
136,2023-06-24 12:35:09,2,14,19.0
137,2023-01-02 01:54:06,1,40,22.0
138,2023-09-13 23:19:20,22,35,2.0
139,2023-10-21 16:31:50,29,42,8.0
140,2023-01-28 09:41:53,13,18,23.0
141,2023-11-04 19:37:12,16,20,22.0
142,2023-12-20 20:55:41,5,9,
143,2023-06-05 14:24:03,3,41,11.0
144,2023-08-30 04:58:04,27,45,14.0
145,2023-11-27 12:25:12,27,33,4.0
146,2023-01-27 10:39:58,15,49,38.0
147,2023-12-18 15:01:00,16,4,6.0
148,2023-01-18 17:38:57,11,4,39.0
149,2023-01-10 01:39:26,25,48,32.0
150,2023-05-11 18:51:07,19,16,15.0
151,2023-03-29 22:11:53,18,47,31.0
152,2023-05-02 00:33:19,21,26,22.0
153,2023-07-07 10:22:03,9,6,26.0
154,2023-07-10 02:22:43,8,37,
155,2023-06-01 20:02:12,22,22,21.0
156,2023-01-10 00:25:05,19,42,0.0
157,2023-10-04 07:44:41,22,39,38.0
158,2023-04-18 16:53:20,5,7,19.0
159,2023-07-16 17:32:22,17,42,6.0
160,2023-06-10 19:15:37,5,30,19.0
161,2023-02-22 05:45:52,14,10,23.0
162,2023-03-18 19:52:15,7,15,6.0
163,2023-02-10 18:33:30,9,6,33.0
164,2023-05-15 10:24:26,28,24,9.0
165,2023-11-05 00:22:47,17,2,37.0
166,2023-09-15 14:39:30,3,40,32.0
167,2023-12-10 04:16:45,8,15,10.0
168,2023-03-18 02:27:53,22,21,18.0
169,2023-04-18 12:24:21,13,18,35.0
170,2023-06-14 07:30:46,16,5,14.0
171,2023-02-21 11:22:01,21,25,6.0
172,2023-07-21 17:24:00,29,36,33.0
173,2023-05-30 11:49:17,10,10,2.0
174,2023-02-03 15:20:05,18,46,6.0
175,2023-11-24 23:24:06,3,23,25.0
176,2023-09-20 01:57:41,12,24,7.0
177,2023-12-23 10:42:11,16,45,12.0
178,2023-10-15 13:52:48,18,10,24.0
179,2023-02-22 21:12:26,17,6,16.0
180,2023-08-11 18:41:12,7,13,6.0
181,2023-12-23 12:19:15,30,21,4.0
182,2023-08-19 12:29:58,19,32,5.0
183,2023-11-15 19:02:46,23,43,7.0
184,2023-08-02 06:44:00,28,15,4.0
185,2023-07-29 18:47:51,23,2,8.0
186,2023-10-29 04:13:27,8,15,7.0
187,2023-09-11 03:48:06,17,17,21.0
188,2023-01-26 19:37:33,21,20,15.0
189,2023-12-22 11:19:58,26,50,8.0
190,2023-01-07 18:29:02,25,6,37.0
191,2023-02-22 19:44:30,28,15,
192,2023-01-17 10:37:34,27,17,7.0
193,2023-05-03 18:02:15,7,26,26.0
194,2023-10-27 15:28:47,1,22,29.0
195,2023-11-28 18:28:02,8,9,13.0
196,2023-11-28 22:05:30,19,12,21.0
197,2023-04-07 16:57:05,29,22,12.0
198,2023-09-20 02:45:10,20,23,10.0
199,2023-07-02 22:36:07,20,37,15.0
200,2023-10-23 07:24:32,10,14,34.0
201,2023-11-11 09:16:43,30,24,29.0
202,2023-01-18 03:26:17,12,8,
203,2023-07-16 02:43:27,24,26,2.0
204,2023-09-01 20:21:12,1,32,16.0
205,2023-02-16 05:09:02,24,28,39.0
206,2023-11-16 09:37:16,25,32,10.0
207,2023-09-06 02:48:46,25,22,4.0
208,2023-10-29 09:51:22,21,49,10.0
209,2023-07-07 01:30:43,4,9,22.0
210,2023-03-10 10:47:43,4,3,4.0
211,2023-11-13 01:49:51,9,25,39.0
212,2023-10-20 11:05:01,15,39,28.0
213,2023-06-10 23:36:11,24,12,14.0
214,2023-11-30 17:38:37,26,29,23.0
215,2023-10-14 18:14:59,15,3,4.0
216,2023-12-11 09:00:50,26,41,23.0
217,2023-04-03 03:36:53,28,46,21.0
218,2023-03-22 14:02:24,7,23,1.0
219,2023-09-11 10:13:41,12,23,36.0
220,2023-08-01 01:35:45,3,18,13.0
221,2023-06-28 04:37:12,20,11,27.0
222,2023-08-18 17:52:49,9,36,27.0
223,2023-07-18 17:08:06,14,26,11.0
224,2023-09-05 17:20:59,13,8,25.0
225,2023-11-07 21:12:16,24,28,11.0
226,2023-03-30 06:42:19,28,18,14.0
227,2023-05-22 06:56:54,12,13,5.0
228,2023-12-13 21:32:04,1,36,25.0
229,2023-06-04 04:33:59,19,42,7.0
230,2023-01-16 15:05:39,30,40,11.0
231,2023-05-17 16:10:06,16,44,16.0
232,2023-12-06 07:56:27,12,12,38.0
233,2023-02-13 05:29:02,10,22,34.0
234,2023-04-08 13:27:21,2,2,27.0
235,2023-11-02 19:45:26,18,40,23.0
236,2023-04-20 06:21:41,13,28,1.0
237,2023-05-30 04:33:56,29,13,13.0
238,2023-04-29 19:52:54,24,33,26.0
239,2023-06-03 20:50:35,6,3,22.0
240,2023-11-29 18:46:39,12,34,1.0
241,2023-08-27 17:53:40,28,23,18.0
242,2023-06-12 00:36:36,28,32,12.0
243,2023-04-01 04:36:30,29,20,14.0
244,2023-05-17 17:06:24,22,28,2.0
245,2023-02-02 15:38:25,4,8,19.0
246,2023-06-24 18:25:40,1,3,35.0
247,2023-11-09 22:33:48,11,30,26.0
248,2023-04-30 02:12:34,23,25,25.0
249,2023-01-11 17:15:09,8,30,35.0
250,2023-10-10 19:59:40,2,29,29.0
251,2023-09-15 07:41:05,2,47,29.0
252,2023-07-08 18:07:09,16,30,31.0
253,2023-07-22 09:11:25,1,34,
254,2023-09-25 07:28:35,4,25,8.0
255,2023-02-18 22:25:39,6,17,2.0
256,2023-08-09 21:19:15,30,24,29.0
257,2023-11-25 14:44:03,21,38,11.0
258,2023-08-13 05:41:38,20,28,20.0
259,2023-05-23 23:38:20,14,33,30.0
260,2023-10-30 22:11:55,20,36,6.0
261,2023-02-15 16:32:06,26,7,28.0
262,2023-03-28 00:59:36,15,23,28.0
263,2023-04-16 12:14:35,7,46,34.0
264,2023-09-06 00:01:56,7,26,36.0
265,2023-08-17 21:21:07,18,14,4.0
266,2023-02-12 09:01:46,29,42,6.0
267,2023-05-01 12:22:57,23,28,17.0
268,2023-01-12 12:57:37,2,24,1.0
269,2023-12-19 09:45:40,20,7,10.0
270,2023-12-22 00:49:58,15,48,14.0
271,2023-07-06 08:49:13,1,36,18.0
272,2023-06-29 05:38:39,21,39,23.0
273,2023-02-12 12:35:53,17,15,14.0
274,2023-02-24 23:03:04,20,49,10.0
275,2023-12-29 08:01:16,29,3,37.0
276,2023-10-06 17:03:34,25,48,29.0
277,2023-01-26 14:31:32,13,2,20.0
278,2023-09-02 18:18:33,12,7,19.0
279,2023-12-26 10:10:17,24,16,5.0
280,2023-08-25 01:25:29,22,21,21.0
281,2023-11-22 10:05:25,15,9,14.0
282,2023-01-17 00:33:30,24,12,26.0
283,2023-12-22 09:11:23,5,29,27.0
284,2023-05-04 19:03:27,7,24,20.0
285,2023-06-14 01:28:18,8,33,32.0
286,2023-10-22 13:58:44,23,14,24.0
287,2023-05-27 08:59:51,14,43,9.0
288,2023-03-26 20:13:15,4,18,23.0
289,2023-01-24 17:08:00,21,5,12.0
290,2023-01-29 14:00:06,29,15,15.0
291,2023-06-04 00:22:37,14,7,37.0
292,2023-08-18 08:35:32,10,25,31.0
293,2023-01-13 02:25:33,22,14,37.0
294,2023-01-15 21:10:44,30,40,37.0
295,2023-02-24 02:13:04,30,36,0.0
296,2023-11-06 06:47:36,28,35,10.0
297,2023-01-10 02:46:40,16,44,35.0
298,2023-02-22 02:26:12,11,50,28.0
299,2023-07-10 01:04:57,22,24,34.0
300,2023-03-22 13:50:48,29,15,39.0
301,2023-03-06 07:50:21,25,11,25.0
302,2023-12-04 04:34:38,26,24,31.0
303,2023-01-18 04:40:19,14,11,18.0
304,2023-08-04 11:02:20,14,44,9.0
305,2023-11-02 03:40:23,2,17,28.0
306,2023-11-18 23:07:17,22,6,11.0
307,2023-07-15 14:14:02,13,21,30.0
308,2023-07-02 09:28:30,3,8,20.0
309,2023-03-01 06:49:54,30,15,19.0
310,2023-04-22 22:08:35,18,32,3.0
311,2023-12-27 06:54:41,22,10,10.0
312,2023-05-15 06:05:20,4,28,26.0
313,2023-05-08 05:41:32,21,15,7.0
314,2023-07-22 16:31:09,21,12,3.0
315,2023-01-07 12:09:27,19,43,32.0
316,2023-05-14 04:45:20,16,18,10.0
317,2023-10-22 21:06:05,28,37,16.0
318,2023-06-06 16:59:08,4,44,5.0
319,2023-05-26 16:15:38,19,24,8.0
320,2023-08-02 09:06:56,23,37,1.0
321,2023-04-25 23:02:59,15,29,9.0
322,2023-01-21 22:08:57,1,10,9.0
323,2023-02-13 10:05:31,16,14,21.0
324,2023-11-14 22:51:53,15,16,10.0
325,2023-04-02 15:55:10,16,37,26.0
326,2023-08-18 06:21:57,22,11,34.0
327,2023-05-11 00:18:00,20,26,8.0
328,2023-06-14 11:12:00,1,40,38.0
329,2023-07-15 20:27:50,17,19,0.0
330,2023-05-31 16:29:14,5,18,17.0
331,2023-10-11 02:06:12,30,30,7.0
332,2023-01-03 22:34:03,5,32,25.0
333,2023-09-08 04:05:18,26,23,38.0
334,2023-05-07 17:18:07,7,12,19.0
335,2023-02-25 17:24:07,13,13,36.0
336,2023-03-07 04:13:33,12,21,13.0
337,2023-02-26 23:52:54,4,21,33.0
338,2023-06-30 13:36:51,30,29,39.0
339,2023-01-22 08:42:13,25,29,8.0
340,2023-09-19 07:37:25,4,50,8.0
341,2023-10-13 16:17:31,23,27,30.0
342,2023-09-02 00:00:04,21,29,7.0
343,2023-04-19 19:56:39,21,15,33.0
344,2023-06-23 21:52:20,6,47,25.0
345,2023-03-26 17:38:25,24,12,21.0
346,2023-07-19 15:43:42,15,41,5.0
347,2023-03-06 15:16:21,21,19,12.0
348,2023-12-06 14:12:08,19,12,25.0
349,2023-10-04 22:12:44,6,23,7.0
350,2023-06-15 16:32:18,30,5,36.0
351,2023-11-21 15:53:35,12,26,14.0
352,2023-10-20 02:56:32,14,10,23.0
353,2023-11-25 08:35:12,18,22,11.0
354,2023-03-25 23:38:20,28,39,21.0
355,2023-01-14 20:37:22,12,23,7.0
356,2023-01-14 21:12:09,24,11,26.0
357,2023-01-21 17:17:08,24,28,39.0
358,2023-03-23 15:01:54,15,31,35.0
359,2023-08-10 01:39:52,19,8,37.0
360,2023-04-22 07:39:19,28,39,25.0
361,2023-10-30 09:41:22,8,48,32.0
362,2023-06-20 23:09:12,9,28,7.0
363,2023-04-13 13:11:26,5,16,20.0
364,2023-11-04 19:39:24,5,46,21.0
365,2023-05-12 14:44:53,6,47,39.0
366,2023-03-11 15:23:24,23,31,38.0
367,2023-02-18 17:04:54,3,41,30.0
368,2023-07-19 22:33:55,5,48,18.0
369,2023-07-16 17:02:43,1,16,22.0
370,2023-10-25 15:43:39,11,5,34.0
371,2023-02-21 04:15:40,26,35,37.0
372,2023-05-04 23:14:41,21,25,23.0
373,2023-11-12 09:37:24,20,13,31.0
374,2023-06-22 19:32:07,1,29,25.0
375,2023-10-07 10:02:30,7,27,18.0
376,2023-04-07 16:18:55,15,40,27.0
377,2023-12-25 06:44:38,17,17,24.0
378,2023-04-24 13:19:01,29,37,6.0
379,2023-12-02 16:59:30,8,38,34.0
380,2023-02-14 15:53:24,30,29,28.0
381,2023-01-27 21:57:32,26,34,29.0
382,2023-06-21 02:39:44,28,30,30.0
383,2023-06-16 07:12:22,2,31,35.0
384,2023-09-12 12:12:56,26,22,
385,2023-11-04 09:35:12,13,46,22.0
386,2023-01-11 17:50:52,12,25,39.0
387,2023-10-26 01:34:57,5,4,23.0
388,2023-01-07 22:45:38,13,35,26.0
389,2023-06-01 23:12:18,6,41,27.0
390,2023-01-01 20:37:11,25,50,2.0
391,2023-09-25 20:24:38,15,44,21.0
392,2023-09-16 09:05:02,30,9,14.0
393,2023-02-10 19:29:45,23,26,37.0
394,2023-08-31 03:51:22,22,27,10.0
395,2023-11-09 16:25:55,21,27,7.0
396,2023-12-12 12:47:04,22,18,29.0
397,2023-11-14 08:34:24,30,30,25.0
398,2023-01-31 00:17:30,11,45,36.0
399,2023-05-24 15:32:17,4,46,
400,2023-08-19 05:12:30,1,31,32.0
401,2023-02-11 16:15:57,15,42,19.0
402,2023-09-26 21:04:35,12,3,24.0
403,2023-11-20 15:53:54,9,29,30.0
404,2023-11-24 23:34:40,11,7,14.0
405,2023-04-20 14:12:20,5,18,12.0
406,2023-06-10 18:19:18,24,16,5.0
407,2023-11-08 05:53:56,7,49,26.0
408,2023-05-16 02:52:37,8,32,39.0
409,2023-12-13 11:39:38,1,38,30.0
410,2023-04-27 08:05:26,25,25,0.0
411,2023-04-14 01:50:08,1,44,36.0
412,2023-12-25 07:11:31,3,32,1.0
413,2023-06-10 12:03:51,8,19,3.0
414,2023-09-11 11:49:00,28,3,15.0
415,2023-02-20 16:06:27,11,35,19.0
416,2023-02-14 10:39:33,1,50,19.0
417,2023-07-29 23:11:20,14,29,2.0
418,2023-03-29 05:25:24,1,11,31.0
419,2023-06-01 19:03:57,6,6,33.0
420,2023-11-02 11:53:47,21,19,27.0
421,2023-03-04 17:54:11,27,37,4.0
422,2023-03-25 15:48:39,6,45,21.0
423,2023-08-05 20:50:36,3,27,15.0
424,2023-02-04 17:24:24,10,5,37.0
425,2023-10-28 05:01:55,12,26,13.0
426,2023-08-23 20:38:10,10,35,
427,2023-04-20 01:21:27,22,19,32.0
428,2023-11-13 03:13:08,2,17,10.0
429,2023-08-18 18:12:57,24,35,9.0
430,2023-10-21 19:06:32,28,47,14.0
431,2023-07-15 21:29:54,22,49,27.0
432,2023-04-08 18:18:51,13,13,35.0
433,2023-01-26 13:36:17,16,14,19.0
434,2023-07-08 05:07:28,13,30,14.0
435,2023-01-15 02:08:29,4,48,19.0
436,2023-11-21 11:02:47,4,43,30.0
437,2023-08-22 04:38:34,30,17,3.0
438,2023-11-15 03:30:42,11,37,7.0
439,2023-10-18 18:21:10,23,15,31.0
440,2023-03-26 16:07:44,14,18,15.0
441,2023-09-11 14:09:04,3,48,31.0
442,2023-06-09 12:25:50,27,14,11.0
443,2023-10-01 17:53:35,19,14,39.0
444,2023-04-16 08:46:51,22,45,31.0
445,2023-09-20 00:17:12,25,33,
446,2023-01-27 08:06:38,1,38,11.0
447,2023-02-26 15:02:51,5,11,17.0
448,2023-09-04 03:54:36,17,11,23.0
449,2023-10-28 22:43:46,1,48,11.0
450,2023-11-04 00:44:05,19,26,36.0
451,2023-11-01 19:41:06,19,3,32.0
452,2023-04-12 14:38:36,4,25,12.0
453,2023-09-21 00:41:47,19,17,21.0
454,2023-04-28 13:35:15,6,22,18.0
455,2023-07-14 14:22:56,28,29,29.0
456,2023-01-01 05:19:16,15,46,13.0
457,2023-10-08 00:24:16,4,26,30.0
458,2023-01-30 17:59:08,24,34,39.0
459,2023-08-12 20:11:44,1,26,32.0
460,2023-03-22 14:39:05,24,9,16.0
461,2023-05-31 22:58:54,27,40,9.0
462,2023-05-26 03:24:42,17,11,25.0
463,2023-03-05 08:35:06,11,7,3.0
464,2023-10-12 09:50:23,17,30,17.0
465,2023-04-29 02:13:58,23,2,28.0
466,2023-06-13 02:46:19,1,30,32.0
467,2023-09-09 01:20:21,9,4,11.0
468,2023-01-11 04:56:49,14,14,33.0
469,2023-02-22 01:48:31,15,13,36.0
470,2023-10-27 19:17:01,24,25,18.0
471,2023-03-15 13:48:15,29,13,4.0
472,2023-02-14 01:51:22,1,13,24.0
473,2023-07-10 10:56:27,2,37,8.0
474,2023-07-21 15:41:05,18,44,27.0
475,2023-10-21 17:40:10,18,6,12.0
476,2023-11-26 23:07:18,6,26,19.0
477,2023-09-23 01:51:44,20,14,19.0
478,2023-11-30 09:07:40,8,8,10.0
479,2023-04-08 10:26:25,1,24,8.0
480,2023-02-09 09:02:35,15,22,25.0
481,2023-08-27 11:28:07,10,40,12.0
482,2023-09-05 14:16:21,30,39,35.0
483,2023-07-16 11:22:06,4,49,36.0
484,2023-12-18 18:48:29,10,21,19.0
485,2023-07-06 02:06:25,11,43,21.0
486,2023-08-30 09:30:46,5,26,8.0
487,2023-10-24 01:40:51,9,10,21.0
488,2023-11-20 17:08:33,5,13,23.0
489,2023-11-15 18:16:27,29,42,9.0
490,2023-08-26 09:08:53,11,14,22.0
491,2023-08-21 06:31:22,3,9,22.0
492,2023-07-11 14:28:14,27,7,17.0
493,2023-06-03 15:04:40,4,39,3.0
494,2023-12-26 10:15:36,10,31,38.0
495,2023-03-31 20:47:41,7,50,37.0
496,2023-12-26 14:57:11,1,16,13.0
497,2023-10-16 03:46:06,27,8,0.0
498,2023-10-18 16:02:58,6,48,7.0
499,2023-09-07 04:52:50,8,15,2.0
500,2023-06-22 19:21:53,17,25,
501,2023-09-28 15:06:44,24,47,13.0
502,2023-11-02 08:49:17,7,38,18.0
503,2023-08-02 20:26:03,1,41,
504,2023-05-11 09:30:05,9,15,16.0
505,2023-09-03 02:35:47,11,25,11.0
506,2023-03-17 03:59:34,19,7,12.0
507,2023-10-10 14:08:19,2,26,21.0
508,2023-05-14 02:00:31,23,8,28.0
509,2023-10-23 05:37:28,11,18,35.0
510,2023-11-05 04:31:23,3,21,19.0
511,2023-02-04 00:41:47,17,16,22.0
512,2023-08-06 21:50:57,10,47,26.0
513,2023-05-13 01:20:42,29,3,34.0
514,2023-02-27 02:39:09,3,1,16.0
515,2023-01-14 09:10:45,22,13,14.0
516,2023-02-27 00:30:22,3,32,8.0
517,2023-01-02 20:09:58,21,12,29.0
518,2023-04-27 11:44:47,25,31,10.0
519,2023-04-15 07:13:23,7,41,1.0
520,2023-07-06 17:57:16,2,2,33.0
521,2023-08-26 17:34:29,1,41,20.0
522,2023-08-30 01:24:06,7,8,30.0
523,2023-05-01 06:33:39,20,25,9.0
524,2023-03-13 13:53:18,11,5,16.0
525,2023-06-22 18:05:11,23,45,25.0
526,2023-11-03 00:59:04,6,2,33.0
527,2023-04-05 23:32:16,23,42,16.0
528,2023-09-12 00:32:06,4,38,3.0
529,2023-06-05 18:04:40,19,39,6.0
530,2023-02-21 15:25:18,28,3,29.0
531,2023-11-27 07:30:19,21,46,33.0
532,2023-06-09 11:05:13,19,48,37.0
533,2023-01-21 22:21:56,14,38,21.0
534,2023-01-12 01:33:31,3,22,18.0
535,2023-08-25 12:25:21,4,40,28.0
536,2023-12-04 20:35:53,8,33,26.0
537,2023-08-26 17:12:05,18,32,33.0
538,2023-10-28 10:46:19,4,47,21.0
539,2023-11-02 22:19:55,11,17,21.0
540,2023-11-08 15:42:30,16,18,27.0
541,2023-08-30 18:16:49,3,3,5.0
542,2023-10-22 15:58:57,7,6,15.0
543,2023-12-25 13:10:33,2,49,32.0
544,2023-12-08 14:23:10,1,13,27.0
545,2023-11-06 19:39:09,26,31,29.0
546,2023-01-20 21:02:35,1,17,21.0
547,2023-12-03 22:47:21,6,21,38.0
548,2023-09-10 14:39:12,19,16,
549,2023-12-26 05:16:51,7,17,39.0
550,2023-11-28 14:16:38,24,32,3.0
551,2023-03-21 06:27:09,5,1,14.0
552,2023-05-15 14:56:40,21,48,37.0
553,2023-09-08 21:32:14,28,38,10.0
554,2023-11-05 00:42:26,18,8,10.0
555,2023-10-14 10:14:19,24,1,22.0
556,2023-10-20 19:28:58,26,2,26.0
557,2023-05-12 06:38:46,13,47,39.0
558,2023-07-11 15:27:34,1,37,25.0
559,2023-09-06 09:59:18,10,24,31.0
560,2023-03-21 06:33:41,9,27,14.0
561,2023-04-29 22:32:05,17,20,30.0
562,2023-04-16 00:11:24,1,47,34.0
563,2023-09-16 19:12:57,1,21,2.0
564,2023-08-29 02:36:34,7,42,3.0
565,2023-01-02 14:38:53,4,37,9.0
566,2023-08-27 06:35:13,28,35,13.0
567,2023-10-10 13:52:43,23,38,27.0
568,2023-12-10 19:28:13,21,15,0.0
569,2023-04-25 00:26:45,12,50,33.0
570,2023-01-04 03:00:01,16,46,27.0
571,2023-06-15 11:47:48,14,42,2.0
572,2023-12-25 02:46:09,23,30,23.0
573,2023-09-05 15:00:47,10,4,24.0
574,2023-11-27 14:16:34,14,43,4.0
575,2023-01-17 04:41:38,7,39,34.0
576,2023-02-18 00:03:33,4,15,37.0
577,2023-09-19 23:18:45,2,23,28.0
578,2023-01-10 01:20:09,24,41,25.0
579,2023-04-02 03:49:06,18,15,26.0
580,2023-04-27 23:20:34,16,26,33.0
581,2023-11-16 12:45:48,9,12,25.0
582,2023-07-07 22:48:43,5,18,
583,2023-12-14 08:14:20,9,6,24.0
584,2023-07-22 10:30:07,25,18,1.0
585,2023-03-08 14:45:36,30,50,31.0
586,2023-06-01 11:37:42,8,24,32.0
587,2023-07-18 01:59:40,24,38,6.0
588,2023-10-13 06:23:51,20,28,20.0
589,2023-05-14 19:53:37,16,15,0.0
590,2023-02-01 23:42:59,30,19,24.0
591,2023-06-30 08:59:53,20,5,8.0
592,2023-02-03 01:56:54,30,4,36.0
593,2023-08-09 01:09:43,18,17,8.0
594,2023-08-06 13:41:36,4,10,21.0
595,2023-10-02 06:20:35,16,12,17.0
596,2023-05-10 12:18:13,4,5,10.0
597,2023-05-06 01:22:26,6,7,
598,2023-09-01 07:09:56,3,44,31.0
599,2023-07-02 00:12:15,18,23,22.0
600,2023-02-15 01:26:33,15,2,3.0
601,2023-11-20 21:12:58,8,30,39.0
602,2023-03-07 18:17:48,18,49,20.0
603,2023-12-30 01:52:18,24,45,31.0
604,2023-11-20 11:08:04,23,37,22.0
605,2023-01-15 12:52:39,3,5,3.0
606,2023-12-07 14:47:01,6,20,34.0
607,2023-08-07 15:28:23,22,26,21.0
