inbound_id,dealership_id,model_id,inbound_date,quantity_received,source
47,11,7,2023-11-09 17:36:01,15.0,TRANSFER
48,1,38,2023-01-21 17:25:06,8.0,TRANSFER
49,21,7,2023-01-09 15:01:30,4.0,Plant
50,18,12,2023-10-23 23:13:16,17.0,PLANT
51,7,38,2023-05-29 13:14:31,16.0,PLANT
52,28,23,2023-06-11 22:21:28,13.0,PLANT
53,28,48,2023-01-04 06:34:03,11.0,Plant
54,13,8,2023-09-29 00:23:44,12.0,plant
55,3,15,2023-03-19 00:49:48,18.0,TRANSFER
56,9,30,2023-01-17 21:59:16,18.0,plant
57,17,9,2023-09-22 07:42:15,2.0,Transfer
58,2,45,2023-10-10 14:00:12,,Plant
59,15,21,2023-06-19 08:50:41,15.0,Plant
60,9,44,2023-08-28 20:34:56,17.0,plant
61,7,14,2023-05-26 08:43:16,6.0,Transfer
62,19,8,2023-09-10 03:27:09,14.0,Plant
63,11,47,2023-08-25 12:07:12,1.0,Transfer
64,24,36,2023-06-21 18:47:33,19.0,TRANSFER
65,21,9,2023-03-26 03:14:48,13.0,TRANSFER
66,18,26,2023-09-23 14:44:07,16.0,Transfer
67,26,20,2023-01-14 08:49:47,17.0,plant
68,17,38,2023-11-25 21:52:21,14.0,Transfer
69,22,6,2023-04-06 21:16:06,1.0,PLANT
70,4,34,2023-10-23 03:08:27,16.0,Transfer
71,2,23,2023-04-04 16:21:51,17.0,Plant
72,17,39,2023-09-11 00:48:21,1.0,plant
73,23,33,2023-11-19 17:10:09,5.0,TRANSFER
74,20,21,2023-04-09 20:04:38,15.0,plant
75,1,41,2023-09-05 20:58:38,1.0,Plant
76,13,26,2023-03-15 18:14:17,4.0,Plant
77,10,5,2023-02-28 08:37:39,12.0,PLANT
78,17,9,2023-01-11 19:19:00,13.0,plant
79,23,45,2023-01-31 07:10:34,7.0,TRANSFER
80,21,33,2023-04-20 22:09:49,2.0,Transfer
81,17,25,2023-07-21 22:21:51,19.0,Plant
82,11,47,2023-05-11 09:36:38,6.0,Plant
83,9,17,2023-03-28 08:31:53,17.0,plant
84,3,40,2023-05-19 10:28:58,17.0,Transfer
85,10,47,2023-09-20 05:26:57,3.0,Plant
86,17,19,2023-07-12 11:11:12,9.0,TRANSFER
87,16,11,2023-07-15 10:19:58,19.0,Transfer
88,16,8,2023-01-19 09:37:24,5.0,plant
89,15,6,2023-02-11 04:30:56,7.0,Plant
90,13,6,2023-08-16 17:25:00,3.0,plant
91,2,8,2023-10-21 20:16:37,17.0,PLANT
92,26,24,2023-08-01 10:20:17,3.0,Transfer
93,6,19,2023-11-02 14:22:20,14.0,PLANT
94,3,41,2023-10-03 15:31:13,16.0,TRANSFER
95,26,27,2023-06-26 09:55:31,14.0,TRANSFER
96,24,20,2023-03-23 05:52:41,2.0,plant
97,1,24,2023-04-27 19:28:49,3.0,Transfer
98,17,38,2023-02-04 09:19:52,4.0,plant
99,24,5,2023-02-24 01:24:59,1.0,plant
100,27,16,2023-05-26 20:02:58,13.0,TRANSFER
101,1,39,2023-09-09 04:10:52,6.0,PLANT
102,30,33,2023-07-08 07:06:47,2.0,PLANT
103,11,10,2023-10-18 09:13:58,8.0,Transfer
104,4,5,2023-11-20 10:30:18,15.0,plant
105,11,19,2023-11-05 01:40:26,19.0,Plant
106,13,41,2023-05-04 21:56:03,7.0,plant
107,29,21,2023-11-13 01:08:51,17.0,TRANSFER
108,22,3,2023-07-29 09:38:35,1.0,PLANT
109,17,28,2023-12-17 15:01:36,5.0,Transfer
110,20,41,2023-07-15 08:22:31,2.0,Transfer
111,29,19,2023-08-20 10:12:16,17.0,TRANSFER
112,21,16,2023-06-25 02:11:40,10.0,TRANSFER
113,13,2,2023-01-24 14:44:03,19.0,TRANSFER
114,17,8,2023-02-18 13:17:54,11.0,TRANSFER
115,2,46,2023-06-07 09:56:48,17.0,PLANT
116,2,38,2023-03-30 09:27:50,12.0,TRANSFER
117,22,12,2023-03-27 03:39:02,14.0,TRANSFER
118,18,24,2023-08-29 17:25:53,10.0,Transfer
119,6,1,2023-09-05 11:40:09,15.0,TRANSFER
120,25,18,2023-04-11 13:09:24,16.0,plant
121,2,23,2023-08-23 02:52:55,16.0,Transfer
122,23,39,2023-06-30 00:52:32,11.0,plant
123,30,27,2023-09-26 06:21:48,6.0,PLANT
124,11,44,2023-02-02 03:18:48,6.0,TRANSFER
125,17,44,2023-03-13 15:18:14,11.0,Transfer
126,9,6,2023-05-20 02:40:27,1.0,plant
127,20,28,2023-11-13 05:32:17,5.0,plant
128,5,23,2023-09-16 16:47:03,2.0,TRANSFER
129,20,34,2023-09-29 02:18:18,18.0,Plant
130,15,25,2023-06-25 10:35:39,10.0,Transfer
131,26,11,2023-07-16 06:45:38,,Transfer
132,25,48,2023-05-19 15:28:12,18.0,TRANSFER
133,30,1,2023-01-25 23:34:49,17.0,Transfer
134,17,38,2023-06-13 17:30:14,5.0,Plant
135,10,10,2023-03-02 19:34:10,3.0,Transfer
136,6,9,2023-10-25 16:53:25,14.0,Transfer
137,13,26,2023-05-13 20:41:48,7.0,TRANSFER
138,28,10,2023-01-08 01:22:56,18.0,TRANSFER
139,21,18,2023-04-07 19:55:31,16.0,Transfer
140,16,50,2023-11-08 18:44:08,10.0,Plant
141,24,9,2023-01-17 04:03:02,14.0,plant
142,2,45,2023-03-15 14:38:14,1.0,Transfer
143,28,26,2023-12-11 00:17:39,3.0,Transfer
144,20,42,2023-01-15 17:48:41,4.0,plant
145,5,9,2023-03-14 23:04:10,,Plant
146,24,36,2023-09-14 07:56:00,15.0,Transfer
147,29,15,2023-04-06 15:09:52,9.0,Plant
148,17,24,2023-04-09 12:52:02,3.0,plant
149,7,40,2023-09-21 14:56:12,12.0,PLANT
150,24,2,2023-06-24 04:13:15,6.0,Transfer
151,17,4,2023-07-27 01:34:54,1.0,Plant
152,5,38,2023-07-16 09:00:38,5.0,Plant
153,6,31,2023-07-23 21:38:21,7.0,Plant
154,10,20,2023-03-06 19:01:03,18.0,PLANT
155,5,39,2023-09-09 19:46:21,3.0,plant
156,14,45,2023-01-07 12:38:30,19.0,PLANT
157,25,26,2023-05-13 09:41:56,7.0,Transfer
158,20,5,2023-11-17 05:07:52,7.0,PLANT
159,14,4,2023-10-01 09:58:02,6.0,PLANT
160,2,22,2023-02-18 13:16:46,6.0,Plant
161,9,6,2023-01-07 07:08:01,6.0,PLANT
162,18,37,2023-01-06 23:15:52,3.0,TRANSFER
163,18,31,2023-03-22 21:45:44,1.0,PLANT
164,28,5,2023-05-02 10:01:55,3.0,Plant
165,22,7,2023-04-08 02:08:20,15.0,Transfer
166,9,5,2023-04-15 11:49:57,11.0,PLANT
167,5,4,2023-05-29 11:28:35,14.0,PLANT
168,26,27,2023-05-24 05:05:28,4.0,PLANT
169,18,9,2023-06-01 10:33:14,6.0,Transfer
170,12,37,2023-12-08 06:50:41,,plant
171,6,2,2023-08-28 09:12:11,18.0,Plant
172,17,49,2023-01-02 13:03:25,4.0,PLANT
173,14,19,2023-05-06 09:48:47,15.0,plant
174,10,39,2023-07-06 00:48:07,19.0,Transfer
175,26,17,2023-01-11 15:51:52,13.0,Plant
176,19,17,2023-10-30 01:25:19,4.0,Transfer
177,3,48,2023-02-12 13:45:01,18.0,plant
178,10,40,2023-11-25 22:05:17,2.0,Plant
179,14,50,2023-12-08 17:30:52,14.0,PLANT
180,15,24,2023-07-17 06:18:06,5.0,PLANT
181,16,13,2023-11-19 11:19:59,5.0,plant
182,6,28,2023-02-04 14:56:35,15.0,TRANSFER
183,14,46,2023-09-02 03:10:32,7.0,PLANT
184,4,50,2023-01-12 17:11:24,18.0,TRANSFER
185,13,45,2023-12-10 23:58:20,5.0,Plant
186,27,42,2023-07-03 16:18:55,13.0,PLANT
187,27,14,2023-09-06 02:59:30,19.0,TRANSFER
188,8,23,2023-10-23 03:13:29,2.0,Plant
189,23,23,2023-02-20 00:00:04,8.0,Plant
190,9,10,2023-06-27 23:58:11,6.0,Transfer
191,21,38,2023-07-13 14:23:09,5.0,Transfer
192,11,49,2023-11-06 14:02:18,9.0,TRANSFER
193,5,17,2023-02-20 16:21:48,19.0,plant
194,5,27,2023-08-30 04:01:06,13.0,PLANT
195,25,11,2023-09-05 12:25:55,4.0,Plant
196,18,19,2023-03-15 20:43:20,8.0,Transfer
197,16,45,2023-09-17 04:19:16,10.0,Transfer
198,23,44,2023-11-25 21:03:50,11.0,plant
199,26,44,2023-05-17 14:20:39,5.0,Transfer
200,19,27,2023-03-06 01:57:48,2.0,Plant
201,24,36,2023-12-04 21:17:37,12.0,plant
202,9,16,2023-04-26 03:50:20,19.0,TRANSFER
203,11,23,2023-04-02 18:09:44,17.0,Transfer
204,11,33,2023-09-15 21:52:40,10.0,plant
205,14,22,2023-05-28 12:48:01,6.0,plant
206,10,14,2023-09-26 18:29:25,15.0,plant
207,9,13,2023-06-05 14:14:59,9.0,plant
208,5,22,2023-12-29 14:54:50,15.0,Transfer
209,26,7,2023-10-29 22:50:40,1.0,PLANT
210,27,38,2023-05-07 18:12:46,16.0,Transfer
211,11,1,2023-03-04 19:30:34,3.0,TRANSFER
212,28,33,2023-07-06 19:13:48,1.0,Transfer
213,9,22,2023-08-24 06:32:04,14.0,TRANSFER
214,13,23,2023-02-19 09:17:33,1.0,Plant
215,29,15,2023-06-30 22:11:57,15.0,PLANT
216,19,44,2023-04-11 11:01:38,14.0,TRANSFER
217,8,15,2023-05-31 10:31:28,16.0,Plant
218,23,31,2023-04-09 12:30:22,16.0,TRANSFER
219,4,28,2023-04-09 20:16:17,17.0,TRANSFER
220,12,3,2023-01-28 15:51:34,7.0,plant
221,25,42,2023-05-13 14:19:28,6.0,Transfer
222,7,25,2023-11-22 13:14:07,14.0,Transfer
223,24,33,2023-06-10 08:35:46,4.0,Plant
224,27,33,2023-12-05 00:42:07,13.0,PLANT
225,8,23,2023-11-02 05:40:10,10.0,TRANSFER
226,19,28,2023-09-21 21:27:28,9.0,Transfer
227,23,16,2023-11-02 21:13:04,3.0,PLANT
228,8,37,2023-09-27 15:53:47,9.0,TRANSFER
229,19,5,2023-03-09 19:38:20,15.0,Plant
230,25,43,2023-12-28 09:44:55,6.0,Plant
231,29,11,2023-08-28 06:29:09,16.0,PLANT
232,26,12,2023-11-06 05:39:15,1.0,TRANSFER
233,4,21,2023-05-18 05:36:14,11.0,Transfer
234,29,18,2023-10-06 03:58:23,10.0,PLANT
235,10,14,2023-06-09 16:57:59,4.0,Transfer
236,15,33,2023-03-17 16:28:06,2.0,plant
237,23,21,2023-03-20 15:40:08,19.0,Transfer
238,8,26,2023-09-07 04:08:16,7.0,TRANSFER
239,15,25,2023-11-17 05:53:29,19.0,Plant
240,16,40,2023-07-03 15:15:32,11.0,TRANSFER
241,24,25,2023-12-16 02:04:05,17.0,TRANSFER
242,21,35,2023-10-19 20:54:17,4.0,plant
243,7,50,2023-01-27 04:39:08,4.0,PLANT
244,8,20,2023-05-12 06:25:42,4.0,Plant
245,29,2,2023-08-14 04:21:56,5.0,plant
246,13,41,2023-11-03 22:44:26,13.0,Plant
247,13,12,2023-04-13 16:56:04,4.0,TRANSFER
248,27,32,2023-01-20 13:24:45,10.0,TRANSFER
249,29,43,2023-06-09 10:08:30,16.0,PLANT
250,2,33,2023-09-22 02:21:20,17.0,PLANT
251,26,48,2023-11-03 23:21:16,9.0,Transfer
252,20,31,2023-12-16 15:07:55,1.0,PLANT
253,15,33,2023-06-23 20:37:46,13.0,Plant
254,6,20,2023-10-27 18:45:33,19.0,TRANSFER
255,25,41,2023-05-13 00:21:18,4.0,Plant
256,18,37,2023-08-20 18:50:28,,TRANSFER
257,7,37,2023-10-01 01:24:09,19.0,Transfer
258,2,40,2023-11-11 15:06:40,,Plant
259,26,14,2023-03-15 09:09:19,15.0,Transfer
260,2,36,2023-07-29 16:40:25,17.0,plant
261,1,12,2023-09-08 20:26:25,6.0,TRANSFER
262,25,26,2023-01-26 01:16:32,9.0,Transfer
263,22,34,2023-05-06 18:45:27,15.0,Plant
264,29,6,2023-10-06 23:37:43,11.0,Plant
265,14,46,2023-12-25 05:23:51,11.0,PLANT
266,2,13,2023-01-29 13:39:37,2.0,TRANSFER
267,10,22,2023-03-28 01:35:21,15.0,plant
268,4,35,2023-08-20 05:42:08,,Plant
269,4,19,2023-06-25 21:08:35,11.0,Plant
270,28,37,2023-07-15 12:18:51,13.0,Plant
271,23,23,2023-09-23 03:10:34,2.0,PLANT
272,7,50,2023-12-30 10:13:04,15.0,Transfer
273,20,32,2023-07-08 02:45:07,5.0,TRANSFER
274,5,44,2023-11-28 14:50:46,16.0,PLANT
275,27,11,2023-06-29 15:13:35,11.0,Plant
276,12,4,2023-09-05 18:28:57,3.0,Transfer
277,12,12,2023-08-18 22:09:58,17.0,TRANSFER
278,25,39,2023-01-07 18:44:00,17.0,TRANSFER
279,6,30,2023-12-14 13:24:09,18.0,TRANSFER
280,18,10,2023-06-22 00:00:17,17.0,PLANT
281,29,24,2023-04-29 20:09:30,10.0,Plant
282,2,23,2023-01-22 16:31:17,4.0,plant
283,19,1,2023-02-19 08:24:26,6.0,Plant
284,29,48,2023-09-30 04:29:16,19.0,PLANT
285,27,4,2023-07-25 17:17:19,8.0,Plant
286,16,28,2023-11-20 15:44:48,1.0,Transfer
287,23,44,2023-07-28 19:30:27,1.0,Plant
288,2,45,2023-05-07 16:04:46,3.0,TRANSFER
289,17,3,2023-04-27 08:51:54,13.0,plant
290,20,48,2023-06-13 04:25:12,9.0,Plant
291,26,2,2023-03-04 15:15:19,13.0,plant
292,7,41,2023-06-23 14:11:54,12.0,TRANSFER
293,21,6,2023-04-24 10:23:46,17.0,plant
294,7,42,2023-08-18 21:07:19,6.0,Plant
295,23,17,2023-12-15 09:59:24,18.0,PLANT
296,12,37,2023-01-16 06:13:28,3.0,Plant
297,23,44,2023-06-07 14:59:25,6.0,Transfer
298,29,23,2023-03-09 18:17:17,9.0,plant
299,11,40,2023-12-15 18:46:56,7.0,TRANSFER
300,29,21,2023-11-09 03:12:57,4.0,Transfer
301,17,44,2023-09-20 07:54:54,18.0,PLANT
302,11,31,2023-06-22 09:52:29,11.0,plant
303,8,12,2023-08-03 04:34:37,3.0,Transfer
304,6,29,2023-09-29 17:31:19,10.0,Plant
305,6,42,2023-06-28 17:23:42,15.0,Transfer
306,15,13,2023-11-06 04:00:04,3.0,TRANSFER
307,26,26,2023-12-20 07:52:50,7.0,Plant
308,20,33,2023-08-06 02:07:37,16.0,Plant
309,12,34,2023-07-05 18:33:46,18.0,Plant
310,9,20,2023-08-21 08:23:00,4.0,PLANT
311,13,47,2023-12-06 08:18:17,13.0,Plant
312,15,10,2023-06-07 17:03:43,1.0,TRANSFER
313,15,1,2023-02-24 07:30:07,3.0,Transfer
314,26,29,2023-04-26 04:36:51,8.0,TRANSFER
315,30,22,2023-05-01 19:36:00,11.0,plant
316,29,50,2023-07-09 17:41:43,3.0,plant
317,30,1,2023-09-07 14:11:26,8.0,Transfer
318,13,44,2023-04-15 00:43:08,12.0,PLANT
319,9,8,2023-04-26 03:00:54,2.0,Plant
320,30,9,2023-09-04 23:00:42,10.0,TRANSFER
321,11,23,2023-11-01 06:11:31,10.0,TRANSFER
322,22,20,2023-02-19 18:38:27,,Plant
323,11,34,2023-07-13 15:15:25,16.0,PLANT
324,9,16,2023-01-13 19:20:28,16.0,TRANSFER
325,17,22,2023-10-31 14:28:52,12.0,Transfer
326,23,46,2023-06-15 17:40:00,19.0,plant
327,25,23,2023-05-13 19:20:03,17.0,TRANSFER
328,21,1,2023-03-28 15:48:52,6.0,TRANSFER
329,6,14,2023-08-10 14:19:03,1.0,Transfer
330,22,49,2023-12-16 18:49:20,,plant
331,5,23,2023-02-03 15:10:34,5.0,Plant
332,26,38,2023-10-25 16:04:51,14.0,plant
333,25,40,2023-03-18 07:39:37,11.0,Plant
334,21,50,2023-03-11 12:45:45,14.0,Plant
335,3,8,2023-11-28 21:00:12,1.0,PLANT
336,6,32,2023-07-26 22:58:22,10.0,Transfer
337,22,40,2023-10-31 00:39:02,19.0,plant
338,17,2,2023-07-28 23:28:04,9.0,Plant
339,11,48,2023-01-24 00:06:05,18.0,PLANT
340,4,13,2023-11-13 04:51:44,17.0,plant
341,26,27,2023-12-07 16:55:08,7.0,PLANT
342,12,46,2023-12-24 04:31:40,16.0,PLANT
343,10,7,2023-02-04 00:02:08,5.0,PLANT
344,17,3,2023-08-02 05:14:22,17.0,PLANT
345,6,21,2023-07-25 22:47:03,8.0,plant
346,18,8,2023-06-20 21:24:08,18.0,PLANT
347,21,1,2023-08-26 06:36:55,1.0,Transfer
348,19,17,2023-05-06 13:57:43,16.0,PLANT
349,22,26,2023-09-25 20:30:37,12.0,TRANSFER
350,29,29,2023-10-12 04:51:01,5.0,PLANT
351,25,8,2023-01-24 10:05:10,,plant
352,15,38,2023-03-31 02:43:24,6.0,Transfer
353,12,43,2023-12-30 20:05:56,2.0,Transfer
354,19,8,2023-09-22 07:13:49,9.0,Transfer
355,25,8,2023-08-20 02:27:29,,TRANSFER
356,5,25,2023-11-03 03:37:45,4.0,TRANSFER
357,29,42,2023-01-20 16:23:22,5.0,TRANSFER
358,18,42,2023-05-12 10:21:55,6.0,PLANT
359,26,45,2023-04-28 13:01:58,6.0,Plant
360,12,27,2023-04-23 00:59:15,14.0,Plant
361,26,22,2023-11-12 14:42:50,12.0,TRANSFER
362,26,3,2023-03-27 06:25:46,3.0,PLANT
363,15,49,2023-01-15 14:23:07,4.0,plant
364,10,47,2023-12-09 09:59:51,12.0,plant
365,28,38,2023-05-21 09:28:14,18.0,plant
366,25,49,2023-08-18 02:19:16,1.0,Transfer
367,30,24,2023-03-12 02:49:43,2.0,TRANSFER
368,19,33,2023-05-05 00:50:27,3.0,Transfer
369,9,35,2023-03-25 15:37:14,12.0,Transfer
370,6,40,2023-07-17 18:34:57,15.0,Plant
371,14,29,2023-08-04 01:19:20,15.0,PLANT
372,1,8,2023-06-24 20:54:09,14.0,PLANT
373,1,11,2023-06-04 22:12:38,15.0,Transfer
374,29,16,2023-07-07 03:30:45,16.0,TRANSFER
375,11,33,2023-09-19 17:17:05,3.0,Transfer
376,3,11,2023-10-17 08:24:18,13.0,TRANSFER
377,21,29,2023-04-15 13:00:43,9.0,PLANT
378,22,49,2023-05-08 02:27:57,15.0,plant
379,5,45,2023-11-22 03:38:50,18.0,plant
380,8,24,2023-09-01 06:29:14,10.0,TRANSFER
381,22,2,2023-01-24 05:16:22,10.0,plant
382,18,5,2023-08-24 17:07:25,18.0,Transfer
383,5,24,2023-08-27 06:25:51,18.0,TRANSFER
384,12,44,2023-11-07 10:31:25,10.0,TRANSFER
385,23,47,2023-12-30 17:16:05,18.0,Plant
386,29,7,2023-10-28 16:59:24,10.0,plant
387,18,31,2023-05-23 02:53:25,2.0,TRANSFER
388,21,30,2023-07-13 12:01:58,11.0,plant
389,12,6,2023-12-12 19:36:46,12.0,PLANT
390,21,5,2023-01-16 00:19:16,,TRANSFER
391,8,15,2023-05-30 01:12:16,6.0,plant
392,30,27,2023-12-25 16:32:04,4.0,TRANSFER
393,9,35,2023-12-22 16:59:36,,Transfer
394,15,9,2023-11-14 11:53:21,12.0,Plant
395,3,23,2023-08-01 18:17:13,11.0,Plant
396,15,17,2023-08-21 14:41:37,17.0,Transfer
397,28,23,2023-11-23 07:58:44,11.0,Plant
398,4,46,2023-05-24 12:02:23,5.0,TRANSFER
399,28,39,2023-06-18 11:57:08,1.0,TRANSFER
400,30,47,2023-07-11 09:34:36,11.0,plant
401,16,29,2023-11-17 13:21:35,13.0,Transfer
402,25,39,2023-08-16 03:32:11,1.0,PLANT
403,25,45,2023-01-15 08:09:24,,Plant
404,19,46,2023-12-07 13:30:29,5.0,Plant
405,18,11,2023-09-17 13:11:46,5.0,TRANSFER
406,27,50,2023-05-31 10:52:07,7.0,TRANSFER
407,16,13,2023-05-06 04:31:30,17.0,plant
408,12,12,2023-11-08 09:26:41,18.0,Plant
409,12,2,2023-01-19 07:21:10,11.0,Plant
410,23,42,2023-10-18 22:02:05,9.0,Plant
411,4,11,2023-11-03 18:55:07,14.0,Transfer
412,15,48,2023-09-18 10:00:16,15.0,TRANSFER
413,19,49,2023-03-09 00:09:47,4.0,plant
414,18,14,2023-02-22 18:11:41,16.0,Transfer
415,26,22,2023-02-10 23:53:38,9.0,TRANSFER
416,11,21,2023-11-26 03:54:30,8.0,TRANSFER
417,30,45,2023-11-03 15:44:39,7.0,Transfer
418,28,49,2023-09-14 04:21:51,16.0,TRANSFER
419,24,37,2023-01-19 15:02:50,14.0,TRANSFER
420,23,36,2023-09-25 09:16:11,15.0,Transfer
421,15,25,2023-10-24 04:06:41,15.0,Plant
422,16,43,2023-11-26 05:51:48,12.0,plant
423,11,49,2023-07-26 22:47:16,16.0,PLANT
424,11,3,2023-08-28 06:32:56,6.0,plant
425,21,2,2023-07-09 03:35:26,9.0,TRANSFER
426,13,27,2023-04-13 16:23:42,14.0,Transfer
427,7,33,2023-08-07 07:42:42,3.0,plant
428,15,18,2023-03-02 09:22:52,18.0,plant
429,17,48,2023-10-10 13:55:59,6.0,plant
430,25,11,2023-11-13 01:51:22,5.0,Plant
431,24,7,2023-12-16 08:13:02,1.0,Transfer
432,27,37,2023-01-13 22:05:17,7.0,TRANSFER
433,13,50,2023-01-03 01:24:26,18.0,Transfer
434,4,36,2023-05-17 02:11:06,11.0,Transfer
435,1,27,2023-02-15 17:21:48,6.0,TRANSFER
436,12,22,2023-03-03 19:59:48,12.0,PLANT
437,4,31,2023-06-20 14:27:25,12.0,Plant
438,1,40,2023-03-26 01:21:48,18.0,Transfer
439,6,6,2023-11-10 00:42:03,19.0,Transfer
440,24,33,2023-10-15 14:40:07,16.0,Transfer
441,11,7,2023-05-13 10:30:20,11.0,Plant
442,21,6,2023-04-25 16:21:30,17.0,TRANSFER
443,25,1,2023-09-23 17:15:57,17.0,Plant
444,26,39,2023-01-31 12:38:10,5.0,PLANT
445,18,46,2023-04-06 12:13:34,7.0,PLANT
446,28,38,2023-08-26 21:51:17,19.0,plant
447,18,42,2023-09-27 06:34:00,1.0,plant
448,20,50,2023-05-04 07:42:01,8.0,Plant
449,6,48,2023-12-25 01:41:55,4.0,Plant
450,14,44,2023-04-01 14:07:34,16.0,plant
451,6,29,2023-04-15 19:55:03,14.0,plant
452,22,11,2023-07-11 10:14:29,,plant
453,15,28,2023-10-02 10:10:40,9.0,plant
454,22,40,2023-07-16 23:00:37,17.0,Plant
455,29,15,2023-11-16 19:23:39,18.0,Plant
456,1,30,2023-05-29 02:14:43,4.0,PLANT
457,17,23,2023-10-20 22:02:50,18.0,TRANSFER
458,29,12,2023-02-10 04:00:50,11.0,TRANSFER
459,12,28,2023-11-17 13:18:26,9.0,TRANSFER
460,30,31,2023-07-30 16:15:30,1.0,PLANT
461,3,30,2023-10-05 06:01:36,15.0,Plant
462,2,39,2023-11-04 15:33:45,3.0,TRANSFER
463,23,16,2023-06-11 11:02:37,3.0,plant
464,6,30,2023-10-11 12:18:56,14.0,PLANT
465,5,4,2023-03-16 17:26:25,1.0,Transfer
466,8,33,2023-08-11 16:49:49,7.0,PLANT
467,2,33,2023-09-11 15:51:32,19.0,Plant
468,27,28,2023-11-02 02:55:34,11.0,plant
469,12,21,2023-03-09 00:50:22,10.0,PLANT
470,7,15,2023-12-23 02:41:24,,Transfer
471,14,26,2023-09-09 22:33:22,19.0,PLANT
472,10,14,2023-09-02 06:30:44,3.0,plant
473,20,15,2023-10-19 18:47:01,1.0,PLANT
474,14,2,2023-11-11 09:18:43,9.0,plant
475,11,16,2023-05-07 02:19:15,15.0,TRANSFER
476,28,37,2023-07-27 07:26:05,18.0,Plant
477,19,11,2023-09-11 18:04:16,13.0,TRANSFER
478,1,11,2023-05-05 15:56:06,17.0,PLANT
479,26,33,2023-07-18 11:53:43,17.0,Plant
480,2,2,2023-07-22 00:58:59,2.0,PLANT
481,23,33,2023-12-16 11:44:37,15.0,Transfer
482,3,3,2023-10-21 23:18:06,5.0,plant
483,27,20,2023-08-24 00:58:39,19.0,Transfer
484,5,33,2023-03-02 23:06:13,16.0,TRANSFER
485,11,26,2023-01-29 18:10:54,,TRANSFER
486,19,49,2023-05-01 12:26:40,8.0,TRANSFER
487,7,34,2023-12-13 23:03:05,16.0,PLANT
488,28,14,2023-07-03 05:36:03,6.0,Transfer
489,16,29,2023-06-26 11:21:49,12.0,PLANT
490,20,2,2023-09-30 23:05:57,18.0,plant
491,8,50,2023-03-02 18:15:39,12.0,Plant
492,26,8,2023-05-23 21:41:44,9.0,Plant
493,24,27,2023-12-20 21:58:11,4.0,Plant
494,4,8,2023-12-07 21:51:43,18.0,TRANSFER
495,12,7,2023-07-29 13:01:44,13.0,Plant
496,18,11,2023-11-21 04:44:35,5.0,Transfer
497,23,39,2023-08-19 04:26:46,12.0,plant
498,14,30,2023-04-09 20:31:02,2.0,Plant
499,17,39,2023-07-30 13:24:54,12.0,Transfer
500,29,49,2023-02-01 13:12:50,6.0,plant
501,12,47,2023-08-13 10:26:54,6.0,Plant
502,9,21,2023-02-05 14:18:33,11.0,PLANT
